Name,CitationsPerPaper
Bharath+Natarajan,0.0
Tokio+Yamadaya,2.0
Sabine+Jeschonnek,8.166666666666666
Marco+Laveder,17.916666666666668
Konstantin Z.+Rushchanskii,7.666666666666667
Edmund X.+DeJesus,21.0
Giulio+Ascoli,2.5
Matthew+Gibbs,1.0
Christoph+Böcklin,3.0
Dave H. A.+Blank,23.3
C. T. Marco+Ho,0.0
Jens+Harting,8.95
Renuka+Rajput,0.0
Anders+Kvellestad,3.5
Augusto O.+Macchiavelli,12.0
Karl P.+Rufener,11.0
Mikhail N.+Zervas,3.0
Markus+Hücker,18.0
Ilya+Koltover,9.5
Kristian+Fenech,18.0
Miguel A.+Furman,4.4
Timothy H.+Boyer,24.53488372093023
Tamiki+Umeda,3.0
Donald+Weingarten,0.0
Norman+Ives,2.0
Christa R.+Ölz,3.0
Manas+Khan,0.5
Anugrah+Singh,4.0
Heather H.+Lovelady,0.0
Guennadi+Borissov,0.0
Namboodiri+Pradeep,90.0
Branko P.+Stojkovic,15.5
Willard C.+Jordan,4.0
Luis+Pumares,0.5
William H.+Nesse,2.0
Benoît+Beaurepaire,0.0
Antoine+Géré,0.0
Parinaz+Aleahmad,7.0
Arthur B.+Dreeben,1.5
Than+Myint,22.0
Edgardo R.+Duering,6.0
H. Arthur+Weldon,25.86046511627907
Hajo+Suhr,27.0
Jiri+Maly,42.0
Gautam+Dev,37.0
Sergey N.+Shevchenko,0.0
D. Kent+Lewis,15.0
Gordon+Blackadder,3.5
Rainer+Jonsen,5.0
Erik+Van der Giessen,1.5
Yelena+Ben-Or,3.0
Igor+Vasiliev,20.0625
Amit+Goswami,2.0
Jan+Ilavsky,0.0
Kohta+Saitoh,4.0
Piyali+Banerjee,1.0
Nazakat+Ullah,1.1363636363636365
Cláudio L. N.+Oliveira,7.0
Claudio J.+Tessone,9.142857142857142
Yasuhiro+Shinpuku,2.0
Peter+Wass,3.5
Bradley+Ehrlich,4.0
Carlos R.+López-Barrón,3.5
Arafa H.+Aly,4.0
Kazuo+Tsumuraya,6.0
Dario+Stacchiola,1.0
Jeffrey F.+Gray,1.0
Ayumi+Nozaki,13.5
Maša+Prodanović,1.0
Maddalena+Pedio,5.0
Chad+Gallinat,4.0
Manhong+Wong,1.0
Devin+Vega,2.0
Svetlana G.+Lukishova,1.0
Charles J.+Bopp,0.0
Jaron T.+Krogel,4.25
Renata+Kallosh,22.743589743589745
Fernando+Siso-Nadal,0.0
Hagen+Münkler,0.0
Jerome I.+Friedman,19.076923076923077
Janusz+Przeslawski,0.0
Andrea+Király,4.0
Isao+Hirano,1.6666666666666667
René+Kalus,0.0
Anna+Matvienko,0.0
André+Ahlbrecht,5.0
Michael S.+Pambianchi,6.0
Takahiro+Ohkuma,13.666666666666666
Kenneth+West,0.0
Renné Medeiros+de Araújo,22.0
Osamu+Miyakawa,19.4
Sheldon+Weinbaum,1.0
Tomas+Starczewski,12.0
Gianni+Cardini,4.222222222222222
Edmund+Harbord,2.0
Roei+Grinfeld,1.0
Yaakov+Lumer,8.714285714285714
Ingo+von Borstel,1.0
Ludwik+Dąbrowski,2.0
Demetrios B.+Papadopoulos,4.5
Daryoush+Abdollahpour,15.0
Nick V.+Grishin,0.8
Sebastián+Mendizabal,10.0
Stéphane+Rodts,3.0
Mustafa Abdusalam+Nasr,0.0
Jan+Köhler,0.0
Darren+Wah,3.0
Matthew L.+Trawick,10.0
Vladimir+Astakhov,2.0
Thirunavukkarasu+Kandasamy,4.0
Ed+Fry,3.0
Ciro+Cattuto,1.0
Fernando+Luis,14.8
Peter+Becker,6.0
Sonia+Estradé,0.0
Leping+Li,11.714285714285714
Lionel+Philippoz,0.0
Andreas+Köpf,9.0
Neil V.+Budko,1.5
Kazutaka G.+Nakamura,2.0833333333333335
Takashi+Kaneko,12.833333333333334
Alberto+García-Quiroz,0.0
Gaetano+Valenza,0.0
Keith+Matera,0.0
Kenneth+Diest,7.0
William+Crowe,0.0
Felix+Sefkow,0.0
Zachariah M.+Norman,3.0
Daisuke+Tatsumi,13.222222222222221
Albert F.+Lawrence,29.0
Wolfgang+Jantsch,12.375
Seth+Cottrell,5.0
Derek+Larson,14.333333333333334
Levy+Rosenblum,0.0
Michael+Pravica,1.5
Mateu+Llas,9.0
Maxence+Rebut,0.0
Víctor A.+Kuz,0.0
Liliana+Borcea,0.0
Eduardo R. A.+Lima,1.0
Martin+Setvin,6.25
Françoise+de Viron,13.0
Soumya+Mohapatra,5.0
Duane R.+Doty,1.0
Vijayakumar K.+Chikkadi,16.5
Michel E.+Jabbour,0.0
Aparna+Saha,0.6666666666666666
Jerry+Westerweel,10.666666666666666
Leonie+Flückiger,0.0
Oleg+Zaitsev,8.8
Ofer+Manor,2.3333333333333335
Markus+Schindler,0.0
James H.+Wyman,1.0
Siddharth+Mishra-Sharma,9.0
WILLIAM N.+LIPSCOMB,0.0
Arkadiusz+Wójs,12.195121951219512
Tom+Busche,21.0
Andrei B.+Kogan,12.666666666666666
Charles M.+Hartwig,11.0
Christoph P.+Hofmann,6.4375
Kenichi+Ono,6.0
Henry F.+Gray,1.0
William M.+Harris,2.0
Rauf+Sarper,0.0
Evan+McDonough,0.0
Oliver+Bunk,2.5714285714285716
L. Philip H.+de Goey,4.0
Hironori+Makino,2.0
Marlene+Glauser,2.25
Roelof S.+de Jong,0.0
Charles+Baltay,17.0
Boris B.+Straumal,4.333333333333333
Radhakrishna+Sureshkumar,3.0
Łukasz+Walczak,0.0
William+Duffy,15.285714285714286
Parth+Girdhar,0.0
Chris+Varghese,4.0
Scott+Wallace,15.285714285714286
Theodor+Kalogeropoulos,8.0
Jillian F.+Banfield,1.2
Kyle P.+Parfrey,18.0
Laurent+Caron,3.6666666666666665
Jochen+Zahn,3.75
Camillo+Borghese,1.0
Matthew J.+Carey,1.8
Antonino+Polimeno,2.5
Satoshi+Nakamura,1.6666666666666667
Leonid+Lichtenstein,4.0
Satoshi X.+Nakamura,2.75
Jacques+Lewiner,2.3333333333333335
Raphaël+Lefevere,1.0
Philip A.+Gurnev,2.0
Philipp+Geyer,3.5
Donald D.+Clayton,2.6666666666666665
Jagbir+Singh,3.0
Stanley+Cohen,16.17391304347826
Raymond A.+Sorensen,46.63636363636363
Yiannis+Ventikos,0.0
Piervincenzo+Rizzo,1.0
Gabriel+Espinosa,1.0
Baltej+Singh,0.0
Tadafumi+Kishimoto,8.0
Cedric+Tassel,2.0
Darryl Y.+Sasaki,3.0
Hariharan+Nalatore,6.0
Robin+Golser,8.8
Vincent+Méot,0.0
Masa-aki+Sakagami,9.454545454545455
Christopher A.+Krenke,8.4
Vladimir E.+Manucharyan,13.75
J. Gregory+Dash,15.0
Salam+Charar,3.0
Shunsuke+Serizawa,0.0
Balan+Palanivel,7.0
Hassina+Zeghlache,2.6666666666666665
Omer+Blaes,10.0
Manfred+Albrecht,2.4444444444444446
Emanuele+Rimini,5.0
Hossein T.+Dinani,1.5
Jarosław Adam+Miszczak,3.0
Yumiko+Masuda,0.0
Omar K.+Matar,1.75
Dillon D.+Fong,3.4
Yutaka+Utsuno,40.5625
Riccardo+March,5.5
Hiroshi+Nakajima,0.0
Stephan+Irsen,1.0
Franz E.+Schunck,23.22222222222222
Andreas F.+Molisch,0.0
Viatcheslav I.+Kuvshinov,0.0
Ivan D.+Reid,8.0
Charles A.+Schmuttenmaer,10.25
Venktesh+Singh,0.0
Seymour+Geller,3.0
Tomasz+Bien,5.5
Rochish+Thaokar,6.0
Rita+Magri,9.0
Tadashi+Toyoda,2.5625
Friedemann+Tonner,11.0
Placido+Mineo,0.0
Karri+Saloriutta,5.0
Torben+Worm,4.0
Olavi+Dannenberg,9.25
Ellen S.+Stewart,0.6666666666666666
Nick S.+Norberg,25.0
Maciej+Demianowicz,7.571428571428571
Piotr+Sułkowski,1.2
Sergiy+Mankovsky,4.0
Annalisa+Fasolino,7.285714285714286
Ribha+Roy,11.0
Eunseok+Lee,1.0
Laurent+Courbin,4.2
Santiago+Alvarez,12.0
Arvind+Raman,2.0
Toshikazu+Nishino,2.0
Federico+Bianchini,0.0
Nathan J.+Takas,0.0
Roahn+Wynar,159.0
Alexander N.+Yaresko,10.0
Haihu+Liu,4.333333333333333
Henrik G.+Hetzheim,12.0
Peter+Grütter,11.555555555555555
Shigeru+Ajisaka,2.4
Guido+Corbò,2.0
Peter H.+Zimmermann,4.0
Charles M.+Huddleston,7.0
Jens+Günster,0.5
W. Max+Jones,3.0
Yoshie+Chiba-Kohno,2.0
James A.+Ferry,1.0
Sonia+Frota-Pessôa,7.2
Emilie+Bruyer,0.0
Timo+Rüppell,1.0
Jim+Harrington,42.0
Steven+Willison,5.142857142857143
Andre+Raymond,3.0
Martin+Reiser,4.0
Djamel+Dou,1.0
Yuta+Kitamura,12.0
Mildred+Allen,4.888888888888889
James K.+Thompson,15.166666666666666
Nilanjan+Banik,1.3333333333333333
Padma Kant+Shukla,3.0
Akihiko+Hayashi,6.2
Ari+Sihvola,0.0
Laurent+Balet,6.333333333333333
Michele+Punturo,12.0
Itai+Cohen,7.75
Felix N.+Tomilin,2.0
Fernando+Ramiro-Manzano,6.0
William+Marciano,8.5
Hartmut+Backe,3.0
Jacopo+Parravicini,0.0
Espen+Flage-Larsen,2.5
Erik W.+Edwards,0.0
Samiyeh+Mahmoudian,3.5
Moshe+Sipper,3.0
Marie-Eve+Aubin-Tam,4.0
Davor+Horvatic,4.0
Mohammadreza+Zakeri,0.0
Christian+Sauerbeck,1.0
Armen+Yeranyan,3.6
Jürgen+Stein,12.0
C. Michael+Roland,11.4
Jonathan+Simon,13.909090909090908
Reiner+Thornagel,4.0
Hans Ulrik+Ulriksen,0.0
Armin+Bunde,11.03896103896104
Michaël+Delqué,0.6666666666666666
Pragya+Bhatt,3.857142857142857
Evan P.+O’Connor,13.0
Tomoya+Kitazume,18.0
Jesper+Levinsen,8.133333333333333
Ronnie+Kosloff,14.891304347826088
Jintana T.+Chiu,0.0
Deepak+Bhat,0.0
Matthew F.+Demers,0.0
Gwilherm+Nénert,4.0
Asmita+Mukherjee,5.2
Asnat+Masad,5.0
Takao+Takeuchi,8.0
Susanne+Gütter,2.0
Cécile+Delacour,5.0
Luiz M.+Faria,2.0
Tobias+Herr,50.0
Susan C.+Hill,4.0
Massimo+Moccia,1.5
Hironori+Tohmyoh,0.0
Branko+Bijeljic,10.666666666666666
Patrick+Kluth,3.0
Dianqi+Li,1.0
Roger+Van Royen,89.0
Chaowaroj+Wanotayaroj,14.0
Néda+Sadooghi,3.0
Balázs+Gyüre,0.6666666666666666
Pradip Kumar+Mondal,2.25
Alexander T.+Goritschnig,5.0
Michael+Höhnerbach,10.0
Marco+Abbarchi,9.166666666666666
Patrick+Spicer,2.0
Gregory+Korzeniewski,1.0
Yoshihiro+Nakato,4.0
Kyekyoon+Kim,9.5
Manfred+Bohn,1.0
Per+Linse,9.166666666666666
Steven B.+Utter,14.0
István+Szalai,5.0
Coralie+Weigel,2.0
Alain+Ranguis,7.5
Claire+Bonnoit,8.0
Jennifer+Lewis,35.0
Daniele+Selli,3.5
ALBA+THEUMANN,22.0
Volker+Bromm,0.0
Vladimir+Wataghin,1.0
Lea-Laetitia+Pontani,3.5
Jurgen+Hinze,0.0
Haruki+Sato,1.0
Isao+Kobayashi,2.0
Francesco+Sette,23.333333333333332
Pietro+Doná,22.0
Alexander+Wei,4.0
Andrea+Prodi,15.0
Steffen+Danzenbächer,2.0
Matthew B.+Koss,10.0
Vinod+Kumarappan,9.5
Koji+Motomura,8.5
Johann+Rohner,1.0
Ruth J.+Wilson,2.0
Bruce+Tidor,0.0
Ralf+Bernhard,0.0
Gintaras+Tamosauskas,2.0
Shankar+Subramaniam,2.5
Prashant+Sharma,30.166666666666668
Pol+Colomer-de-Simón,6.0
Valery A.+Godyak,12.0
Javier B.+Gómez,4.8
Sergei+Izvekov,1.0
James G.+Morley,4.0
Kiyoshi+Sugibuchi,2.0
Michael+Hobson,2.2
Drew A.+Copeland,12.0
Evgeniy+Shkondin,4.0
Raymond J.+Stefanski,5.0
Dvora+Perahia,0.6666666666666666
Stefano+Portolan,25.5
Troy+Carter,9.0
Annemieke+Petrignani,3.5
Dmitry+Lebedenko,23.0
Peter+Markoš,11.0
Bengt I.+Lundqvist,26.05263157894737
Krzysztof+Rosciszewski,5.333333333333333
Elena+Melkumova,0.0
Takami+Yamaguchi,4.0
Kinam+Kim,1.0
Christopher+Gill,1.0
Karl L. F.+Bane,1.6666666666666667
Frederick W.+Grover,1.0
Hideo+Kaburaki,4.866666666666666
Jens+Müller,1.9090909090909092
F. Leal+Calderon,21.0
Sergei+Kopeikin,13.5
Ramón+Hernández-Lamoneda,0.0
Jacek+Pozorski,5.0
Maggie+Tse,3.0
Sunghoon+Jung,15.692307692307692
Avraham+Halperin,6.0
Bryan+Peters,0.0
Saeed+Rastgoo,0.6666666666666666
Martti+Kaempgen,9.0
Mateo+Garcia,6.5
Andrei+Podlesnyak,14.0
Timothy J.+Giesy,0.0
Frank-Peter+Ludwig,5.0
Wanyin+Cui,2.0
Stefano+Prada,4.25
Evgeny+Yurkovsky,12.0
Jose+Teittinen,0.0
Roberto+De Alba,4.0
Xenia+Kozina,4.0
Andrea+Noack,8.0
Daisuke+Satow,4.833333333333333
Jonathan+Widom,2.0
Joanna+Kaczmarska,2.0
René+Rivoira,2.0
Gregory+Czap,1.0
Kamalika Basu+Hajra,5.0
Masahiro+Aoyagi,8.0
Takayoshi+Yamamoto,1.0
Adrian R.+Powell,13.0
Toshiteru+Maeda,2.0
Earl E.+Lafon,45.666666666666664
Stefano Ivo+Finazzo,1.3333333333333333
Darko+Dimitrovski,11.0
Tomas+Oppelstrup,4.0
Werner+Fink,6.0
Werner+Fuß,11.0
Costel+Biloiu,8.0
Finbarr+O'Callaghan,0.0
Barbara J.+Forbes,1.75
Humberto+Gomez,0.0
José Manuel+Carmona,0.0
Yanqun+Dong,12.333333333333334
Renwick+Hudspith,4.0
Keisuke+Isobe,0.0
Rodric P.+Quirk,1.0
Roberta+Ciprian,1.5
Elena+del Corro,1.0
Maciej A.+Nowak,6.6
Akihiro+Ishii,2.0
Peter M.+Zerwas,3.0
Christian P.+Amann,9.0
Andrey S.+Vorokh,2.0
Takao+Goto,5.75
Catalin P.+Gainaru,1.0
Wolfgang I.+Giersche,1.0
Piyush+Kumar,9.0
Creighton K.+Thomas,5.133333333333334
Jerzy+Pawłowski,16.0
Frederick C.+MacKintosh,6.75
Marcia E.+Wehlau,0.0
Hirofumi+Toyama,0.0
Luca+Parisi,5.6
Nicolaus T.+Schmandt,5.0
Amanda K.+Petford-Long,2.5
Elizabeth Urey+Baranger,6.5
Ugo+Bruzzo,0.0
Birgit+Fischer,0.0
Katsuhiko+Miyamoto,5.0
Kotaro+Ishiji,0.0
Rafael+Fritz,0.0
Carsten+Fortmann,10.0
Alec+Sandy,1.5
Frank+Huussen,31.0
Takaharu+Onishi,2.0
Moritz F.+Linkmann,1.0
Hingsing+Tang,9.0
Silvia+Mollerach,25.46153846153846
Vincent+Jacques,19.0
Priya+Balasubramanian,0.0
Samuel+Ducatman,9.0
Bernhard+Meüller,0.0
Jörg+Kewisch,0.0
M. Ebrahim+Fouladvand,5.0
Danijela+Ljuić,1.0
Harold E.+Puthoff,7.0
Karl+Amundson,12.0
Ahmed+Errahmani,3.3333333333333335
Anja+Riegert,3.0
Hatim+Salih,8.0
Axel+Krinner,4.0
Nobuyuki+Zettsu,2.0
Tetsuo+Sekimura,40.0
Gayatri+Mohanto,6.75
Paolo+Gambino,7.625
Shiro+Tsukamoto,19.0
Francesco+Zanlungo,0.5
Sérgio E.+Jorás,1.0
Motoharu+Kitatani,8.0
Basile+Audoly,6.6
Jacques+Schlesinger,0.0
Louis+Franck,0.0
Alexander H.+Pohl,3.0
Juhani+Kürkijarvi,121.0
Jacquelyn A.+Weiss,44.0
Giorgio+Frossati,7.0
Lyman G.+Bonner,4.25
Sergio+Pantano,1.0
J. Pablo+Salas,0.3333333333333333
Jacques+Magnaudet,3.1666666666666665
Hessam+Malmir,0.0
Matti+Kaivola,8.0
Akihiro+Maki,5.0
Riccardo+Tubino,12.0
Pierrette+Renucci,1.0
S. Alireza+Ghasemi,8.428571428571429
Chansong+Zhou,3.0
Francesco+Vita,2.3333333333333335
Andreas+Buchleitner,11.024390243902438
Serena+Fagnocchi,9.714285714285714
Přemysl+Kolorenč,3.7142857142857144
Roland+Müller,4.0
Chinorat+Kobdaj,5.0
Paško+Županović,4.0
Ernesto+Eiroa,0.0
Véronique+Langlais,3.3333333333333335
Yardley+Beers,1.2222222222222223
Ethan+Dolle,25.0
Edoardo+Vivo,2.0
François+Virot,11.0
James+Keaveney,1.0
Indrani+Chattopadhyay,5.0
Airton+Martin,7.0
Monica+Macciò,3.6666666666666665
Daisuke+Ito,6.5
Per A.+Sundell,7.0
Carlos H.+Coimbra-Araújo,1.0
Luis+Seabra,8.0
Mauro+Fabrizioli,11.0
Kristin A.+Schönau,14.333333333333334
Charles K.+Sinclair,15.5
Molly M.+Nelson,1.0
Sujeet+Chaudhary,6.857142857142857
Mario M.+Jakas,2.8181818181818183
Carsten+Pfüller,5.8
Tomoko+Sudoh,9.0
Josef+Kudrnovský,11.375
Kazuhisa+Matsuda,2.6666666666666665
Ulrike+Voigt,1.0
Akira+Tomita,54.666666666666664
Peter+Hess,0.0
Andreas+Klust,1.7142857142857142
Morimi+Oosawa,25.0
Sergey+Postnikov,18.0
Nicola+Pizzolato,1.0
Michael+Woerner,6.9411764705882355
Jacob F.+Sherson,3.8461538461538463
Cesare+Mollica,0.5
Mogens+Jensen,32.0
Albert+Moscowitz,1.0
Walter+Grimus,4.333333333333333
Sirisha+Nukala,2.0
Alexander Yu.+Kamenshchik,5.125
Hilbert J.+Unger,2.3333333333333335
Gordon M.+Turner,20.0
Filippo+Guarnieri,5.0
Andrin+Caviezel,1.0
Vincent+Favre-Nicolin,3.0
Hartmut+Wallis,4.0
Atsuko+Inoue-Ushiyama,4.666666666666667
Cheuk W.+Tai,2.0
Aaron C.+Vincent,6.375
Rodrigo P.+Rocha,0.0
Hartmut F. -W.+Sadrozinski,16.0
Olivier+Praud,11.333333333333334
Takatoshi+Ichino,4.0
Matteo+Gerosa,3.5
Sorin+Perisanu,3.0
Jeremy+Oon,8.0
Arun+Ram,2.0
Minoru+Isshiki,4.0
Christian B.+Mendl,6.8
Dejan+Urošević,0.0
Clare+Horsman,5.666666666666667
Rutger+Hermsen,5.0
Guntram+Schröder,31.6
Andreas+Fery,1.5
Matthew W.+Choptuik,24.045454545454547
Stephan+Ormonde,5.545454545454546
Donald J.+Harter,58.5
Xavier+Godivier,26.0
Claire E.+Max,2.5
Georg+Damm,1.0
Boris+Nowak,23.0
Robijn+Bruinsma,8.333333333333334
Paolo+Provero,15.0
Markus+Hopfer,3.0
Roberth+Asplund,4.0
Stefaan+De Wolf,1.5
Nikolay A.+Panov,0.0
Giulio Giuseppe+Giusteri,0.0
Konstantin V.+Emtsev,26.5
Christian+Cierpka,4.0
Rafael S.+Oliveira,1.5
Johannes+Förster,0.0
Ashwani K.+Prasher,3.0
Enrique+Grünbaum,1.0
Debayan+Mitra,0.0
Tina+Händler,0.0
Stefania+Perticaroli,1.0
Dietrich A.+Jenny,4.0
Gregory M.+Grason,3.6666666666666665
Fabrizio+Guerrieri,7.0
Zeus+Martí,0.0
Patrick+Dorey,8.0
Stefan+Lautenschlaeger,10.0
Takashi+Nakatsukasa,14.107142857142858
Atsushi+Tsukazaki,2.0
Maury+Tigner,3.5
Arnaud+Le Padellec,14.0
Joel M.+Weller,2.8
Tungyang+Chen,0.0
Ibon+Santiago,31.5
Yutaka+Ishihara,3.5
Frank C.+Hoyt,2.0
Lembit+Sihver,2.0
Kazuhiko+Murata,2.0
Rikard+Bergman,10.666666666666666
Sebastiano+Mariazzi,12.0
Koji+Watanabe,7.5
Aldo+Brunetti,15.0
Mohamed+Souhar,2.5
Ante+Bilić,1.6
Gilbert M.+Nathanson,2.0
Whitney P.+Allen,2.0
Christina+Sirakoff,6.0
Luc+Leviandier,27.0
Yasayuki+Hikita,11.0
Jorge+Villavicencio,5.217391304347826
Philipp+Plänitz,0.0
Matthieu E.+Deconinck,7.0
Hartmut+Witte,1.0
Sachiko+Kitajima,1.0
Dmitrii L.+Dorofeev,0.0
Nicholas+Driscoll,2.0
Sainan+Wang,0.0
Piotr+Surówka,22.666666666666668
Markus F.+Weber,12.0
Timo A.+Laine,36.0
Sergey+Siparov,0.5
Guilherme N.+Prata,0.0
Kenneth E.+Starling,4.0
Rose C. L.+Mooney,6.0
Shingo+Oishi,0.0
Lester+Winsberg,16.0
Tobias+Kruse,8.0
Donna A.+Kunkel,0.0
Hugo R. C.+Ferreira,1.0
Mattanjah+de Vries,1.0
Benoit+Fleury,13.0
Cristian Redondo+Lourés,3.0
Per-Olof+Westlund,2.0
James J.+Rhyne,2.0
Joël+Eymery,8.5
Ivan+Brihuega,4.5
Laurent -C.+Duda,14.0
Asaki+Saito,0.5
Ayaka+Sakata,2.3333333333333335
Clemens+Ulrich,2.0
Einan+Gardi,9.6
Nicola+Maggiore,12.0
James P.+Ritchie,27.0
Nima+Khosravi,5.428571428571429
Mikhail+Khankhasayev,0.0
Lipeng+Chen,2.3333333333333335
Cameron+Zachreson,2.0
Joie+Wang,0.0
Ivan+Blonskiy,0.0
Jan-Olof J.+Wesström,5.666666666666667
Michał+Cieśla,3.7142857142857144
Arundhati S.+Jayarao,3.0
Alexander+Barabanschikov,0.0
Minja+Gemišić Adamov,0.0
Stanley H.+Stern,0.0
Francesco+Giacosa,8.923076923076923
Yalin+Dong,4.666666666666667
José L.+Zubimendi,2.0
José+Luis Vega,0.0
Stig-Åke+Lindgren,4.0
Serena+Cappelli,2.0
Jason S.+Wexler,1.5
Dustin D.+Gerrard,2.0
Claudio+Ferrero,0.6666666666666666
Kazuaki+Nakata,1.0
Christian+Bierlich,1.0
Koji+Taruishi,0.0
Carole+Addis,3.8333333333333335
Jan Peter+Toennies,9.0
Arie J.+Aizman,0.0
Clément+Touya,5.0
Dhanashree+Moghe,2.0
Gaurav+Kumar,0.0
Lydia+Peabody,39.0
Norihisa+Watanabe,0.5
Christopher+Beetle,21.0
Jesse W.+Collins,4.0
Hans-Achim+Bahr,3.75
Luca+Ferrucci,1.0
Thein+Kyu,2.090909090909091
Cristiano L.+Dias,3.2
Tomas E.+Gonzalo,19.0
Gianluca+Fiori,2.0
Vyacheslav+Golovanov,0.0
Laurent+Simon,11.0
Emilio+Fiordilino,3.4545454545454546
Christian+Wacker,8.0
GERALD L.+POLLACK,87.0
Magnus+Karlsson,45.0
Charles+Pecher,11.0
Nicolás+Sacristán,2.0
Kunal+Ghosh,11.0
James P.+Brody,9.5
Maren+Grigutsch,1.0
Jacques+Kengne,0.0
Boris+Lorenz,2.0
Diemo+Ködderitzsch,10.375
Anna+Martin,4.0
Rüdiger+Fortanier,5.0
Michael+Loudiana,1.0
Magno V. T.+Machado,6.0
Dmytro+Abraimov,0.0
Takahiro+Ikeda,8.0
Volkan+Sevim,1.6666666666666667
Angelo+Pinto,5.0
Sharada Iyer+Dutta,12.333333333333334
Wolfgang+Richter,5.0
Davide+Sangalli,10.285714285714286
Harsh+Pandey,0.0
Yasuhiko+Ikebata,9.0
J. Doyne+Farmer,19.923076923076923
Jacob+Jordan,16.5
Peter D.+Howell,0.0
O. Tolga+Gul,0.0
Chris+Mueller,3.0
Romain+Coussement,4.0
Jaroslav+Hlinka,0.5
Daniil I.+Khomskii,15.0
Tokitaka+Oyama,0.0
Maurice J.+Blount,0.0
Gaspar+Armelles,3.3333333333333335
Satoshi+Taguchi,1.0
Athena S. M.+Sefat,23.0
Charles E.+Johnson,8.846153846153847
Charlotte+Bond,4.0
Carlos C. N.+Kuhn,8.0
Ashok+Chatterjee,3.3333333333333335
Keisuke+Mochizuki,1.0
Donatella+Cassettari,51.4
Javad T.+Firouzjaee,1.5
Pavel F.+Bessarab,3.0
Angela+Nöppert,21.0
Jonathan E.+Menard,5.0
Jawad+Naciri,1.4
Bruno+Loureiro,1.0
Walter+Nadler,6.85
Kirsten+Büttner,5.0
Stanisl/aw+Mrówczyński,3.0
Ralph+Schiller,7.739130434782608
Srinivas+Krishnagopal,0.0
Akiyori+Yamamoto,3.0
Anna+Zora,0.0
Yaşar+Hiçyılmaz,0.0
Konrad G.+Weil,2.0
Terrence+McGuckin,0.0
Jaeseol+Cho,2.0
Constantino A.+da Silva Santos,17.0
Fabio+Orlandi,0.0
Krysta M.+Svore,8.5
Alexey V.+Ognev,5.0
Alexander+Mikishev,0.0
Michael+Boylan-Kolchin,2.0
Takaaki+Jinno,2.0
Gianfranco+Cerofolini,3.0
Percy+Hodge,4.0
Robby+Peibst,4.0
Philip J.+Hart,16.0
C. Raj+Sankar,3.0
Ebrahim+Madadi,4.0
Fabrice+Wilhlem,10.0
Vaibhav S.+Prabhudesai,4.333333333333333
Kok-Khoo+Phua,1.0
Shubho+Banerjee,4.0
Afric+Meijer,0.0
Allan+Schweitzer,2.0
Massoud+Najafi,7.0
Dave+Ritchie,4.0
Muddassar+Rashid,0.0
Sukhjit+Kaur,2.0
N. Vinh+Mau,4.25
Lillian+Overman,56.0
Anatoly S.+Chirkin,0.0
Ondřej+Přibyla,8.0
Corinna C.+Maass,0.0
Masahiro+Koiwa,4.0
Walter P.+Siegmund,8.0
Sergei G.+Ovchinnikov,10.0
Bernhard+Dick,1.0
Yuriy G.+Semenov,3.857142857142857
Xiaolei+Wu,0.0
Mariano+Garagiola,0.0
Soojeong+Choi,1.3333333333333333
Jan+Götzen,6.0
Mahmood Irtiza+Hussain,4.0
Oluf+Danielsen,14.0
Sebastián+Bouzat,0.25
Agnieszka+Grzelińska,5.5
Vinay+Malvimat,0.0
Cheryl L.+Berthelsen,5.0
Noel J.+Walkington,0.0
Hirofumi+Shinke,0.0
Maren+Gysler,0.0
Naoto+Shiraishi,4.5
Clyde S.+Zaidins,0.0
Marie-Hélène+Delville,0.5
Michael+Bishof,0.0
Bernhard+Kurrelmeyer,1.5
Caroline+Curfs,0.0
Yusuf+Yüksel,3.0
Matthew J.+Reilly,5.0
Michael F.+Hagan,10.923076923076923
Sean T.+McWilliams,23.38095238095238
Christian+Mailhiot,35.0
Hossein+Karamitaheri,0.0
Shinichiro+Nakamura,5.5
Glenn M.+Frye,4.0625
Alexandra+Teste,0.0
Ulrich+Ponkratz,1.0
Martin+French,8.142857142857142
Yasuyuki+Suzuki,13.333333333333334
Luc+Brossard,6.0
Mahmoud+Safari,0.0
Henry M.+Van Driel,3.5
Sidney+Millman,9.5
Pankaj+Mishra,3.5
Ryuji+Nomura,4.5
Koushik+Ray,1.0
Colin+Lambert,3.0
Arzhang+Khalili,2.6
Ashish Kumar+Gupta,10.0
Jaime+Combadão,2.0
Bernhard U.+Musch,0.0
Shoji+Yoshida,6.0
Premomoy+Ghosh,2.375
Cinzia+Davia,1.0
Hans+Blom,4.5
Johannes+Deiglmayr,5.2
Sohrab+Ismail-Beigi,20.1
Arsalan+Sattari,2.0
Adam+Monahan,2.0
Gonzalo+Hernandez-Hernandez,1.0
Seyfollah+Toroghi,1.5
Nabil+Gaimes,5.0
Hideki+Ogawa,9.0
Miguel+Rios,1.0
Christopher+Lee,16.7
MacKenzie L.+Warren,3.0
Yasuhito+Miyoshi,0.0
Helena+Reichlova,0.0
Karl-Heinz+Rädler,3.5
James H.+Bartlett,5.590909090909091
Chuanhong+Jin,23.5
Konstantinos+Termentzidis,6.333333333333333
Yukie+Sano,0.5
Jorge+Casanova,0.0
Konrad+Banaszek,22.393939393939394
Jan+Jolie,22.11111111111111
Cynthia H.+Polsky,6.0
Franca+Manghi,30.0
Peter J.+Warter,5.111111111111111
