Name,CitationsPerPaper
Dimitris N.+Mihailidis,3.0
F. L. Bello+Garrote,1.5
Konrad+Thürmer,7.75
Maciej+Sawicki,12.666666666666666
Bettina V.+Lotsch,0.0
Bilge+Yildiz,3.75
Deshdeep+Sahdev,5.583333333333333
Yasuo+Kuniyoshi,1.1666666666666667
Colin G. W.+Thomas,1.0
Stanley+Jernow,0.0
Rafael+Gutierrez,2.0
Henning+Döscher,1.6666666666666667
Hajime+Fukuda,1.5
Osamu+Morimoto,1.0
Satoshi+Okuzumi,3.5
Alka B.+Garg,2.0
Natasha+Gabay,0.0
Darin+Beigie,6.5
Jukka+Tulkki,11.9
Christopher+Grossert,26.5
Frederick+Raab,3.0
Merav+Stern,7.0
Pavel E.+Kornilovitch,0.0
Piotr+Chudzinski,2.0
Junichiro+Yasuda,9.0
Vanessa E.+Fairbank,2.0
Alexander J.+Shuskus,11.0
Kym+Eden,3.0
Katerina+Chatziioannou,10.142857142857142
Florian+Geier,0.0
Zoltan+Paulini,13.0
Amy+Lien,2.0
Claus+Metzner,2.5
Marie-Aude+Measson,4.0
M. Aparicio+Alcalde,8.0
Dipankar+Chakrabarti,4.0
Peter+Kafalas,6.0
Anh Khoa Augustin+Lu,0.0
Stefano+Braccini,3.0
Ameya Deepak+Rane,1.0
Kenneth B.+Mitchell,22.0
Sona+Prakash,19.0
Paolo+Serra,8.555555555555555
Andreas+Herrmann,7.0
Stefan+Bretschneider,8.0
Adolfo J.+Banchio,7.0
Masa+Tsuchiya,0.5
Gian Paolo+Brivio,3.0
Olivier+Boisron,6.0
Wilfried+Assenmacher,0.0
Romeu+Castro,0.0
Julie+Goulet,0.0
Angelica M.+Stacy,35.42857142857143
Aron C.+Wall,7.473684210526316
Tyler J.+Johnson,10.0
Frank R.+Graziani,6.222222222222222
Bojan A.+Marinkovic,0.0
Michael A.+Nielsen,49.07692307692308
Galya+Blum,11.0
Ferial+Terki,5.0
Martin+Kammler,18.0
Michael+von Ortenberg,14.0
Mitsuhiro+Tanaka,1.0
László P.+Csernai,15.857142857142858
Robin+Schürmann,0.0
Steen+Dannefaer,2.0
Susanne+Pfalzner,9.0
William J.+Burke,4.5
Dominik M.+Bauer,9.0
Shamashis+Sengupta,1.0
Hagen+Kleinert,11.086206896551724
Shigenori+Hiramatsu,8.0
Stefan+Schacht,5.166666666666667
Chariya+Jacobi,0.0
James L.+Lawson,44.0
Thaddeus F.+Kycia,5.0
Wolfgang+Pietsch,2.0
Michael F.+Stumborg,0.0
Preben+Hvelplund,2.0
Jan+Bal/a,14.0
Klas+Modin,0.0
Samantha L.+White,15.0
Manoj P.+Samanta,9.0
Stefano+de Gironcoli,53.40909090909091
Petra+Rudolf,10.307692307692308
Farhang+Haddadfarshi,2.0
Paulo H.+Valadares Pereira,0.0
Davide+Proment,5.8
Jonathan D.+Mar,4.0
Diyar+Talbayev,10.0
Karen M.+Fonseca-Romero,8.5
Timothy J.+Beams,3.6666666666666665
Simone+Techert,4.5
Catherine+McCammon,1.3333333333333333
Paulos+Chatzis,7.0
Carlos G.+Granados,2.0
Bernard B.+Watson,14.333333333333334
Mehdi+Talamali,12.5
Ágnes+Nagy,10.25
Walter+Haeffner,25.0
Adam+Lidz,3.3333333333333335
Hiroyasu+Ejiri,5.25
Colm T.+Whelan,7.444444444444445
Yona+Oren,8.5
Stanley+Byron,15.5
Xinyang+Wang,7.25
Ralf+Busch,5.75
Susan L.+Dexheimer,53.0
Ioav+Waga,30.53846153846154
Luiz+Santos,38.333333333333336
Masatoshi+Fujimoto,1.6666666666666667
Dmitri+Petrov,3.5384615384615383
Yasuaki+Onodera,12.0
ALLAN+GRIFFIN,8.0
Kiril+Hristov,1.0
Tommaso+Gabbriellini,12.0
Karl+Besocke,14.0
Takahiro+Yabuuchi,14.0
Sudhakar+Yarlagadda,6.7894736842105265
Bhargav+Rallabandi,1.0
Henrik+Schulze,0.0
Michael+Bachman,3.0
Jonas T.+Karlsen,2.0
Joyce+Garden,7.0
Fumitaka+Hayashi,1.0
Gouri Shankar+Tripathi,2.0
Hans-Jürgen+Sommers,12.714285714285714
Anatoly E.+Tolpin,0.0
Pascal+Chauve,56.666666666666664
Matthias+Reichelt,3.0
Matthew+Hewitt,5.0
Peter G.+Wohlmut,4.0
Emily+Mount,2.0
Nobuchika+Okada,8.0375
Neeraj+Kumar,9.714285714285714
Mario+Rasetti,12.0
H. Duygu+Ozaydin,2.0
William+Stacey,0.0
Michael+Pippig,1.0
José Alejandro+Rosabal,22.0
Satoshi+Yukawa,4.777777777777778
Emanuele+Orazi,1.0
Arnab+Mukherjee,2.0
Emmanuelle+Rio,2.0
Hajime+Inaba,1.0
Takuya+Susuki,38.0
Nikhil+Kumar,2.0
Jiro+Yoshida,1.0
Claire+Donnelly,0.6666666666666666
William C.+King,25.0
Frank+Endres,3.0
Rafał+Kuś,14.0
Daria+Popova-Gorelova,1.3333333333333333
Markus+Böhm,7.333333333333333
Miranda+Holmes-Cerfon,0.0
