Name,Productivity
Kenneth B.+Mitchell,1
Sona+Prakash,5
Paolo+Serra,18
Andreas+Herrmann,2
Stefan+Bretschneider,1
Adolfo J.+Banchio,1
Masa+Tsuchiya,2
Gian Paolo+Brivio,3
Olivier+Boisron,1
Wilfried+Assenmacher,1
Romeu+Castro,1
Julie+Goulet,1
Angelica M.+Stacy,7
Aron C.+Wall,19
Tyler J.+Johnson,1
Frank R.+Graziani,9
Bojan A.+Marinkovic,1
Michael A.+Nielsen,26
Galya+Blum,2
Ferial+Terki,1
Martin+Kammler,1
Michael+von Ortenberg,2
Mitsuhiro+Tanaka,3
László P.+Csernai,14
Robin+Schürmann,1
Steen+Dannefaer,1
Susanne+Pfalzner,1
William J.+Burke,2
Dominik M.+Bauer,1
Shamashis+Sengupta,5
Hagen+Kleinert,58
Shigenori+Hiramatsu,1
Stefan+Schacht,6
Chariya+Jacobi,1
James L.+Lawson,2
Thaddeus F.+Kycia,3
Wolfgang+Pietsch,1
Michael F.+Stumborg,1
Preben+Hvelplund,4
Jan+Bal/a,4
Klas+Modin,1
Samantha L.+White,1
Manoj P.+Samanta,3
Stefano+de Gironcoli,44
Petra+Rudolf,13
Farhang+Haddadfarshi,1
Paulo H.+Valadares Pereira,1
Davide+Proment,5
Jonathan D.+Mar,1
Diyar+Talbayev,2
Karen M.+Fonseca-Romero,2
Timothy J.+Beams,3
Simone+Techert,2
Catherine+McCammon,3
Paulos+Chatzis,1
Carlos G.+Granados,2
Bernard B.+Watson,6
Mehdi+Talamali,2
Ágnes+Nagy,4
Walter+Haeffner,1
Adam+Lidz,3
Hiroyasu+Ejiri,4
Colm T.+Whelan,27
Yona+Oren,2
Stanley+Byron,2
Xinyang+Wang,4
Ralf+Busch,4
Susan L.+Dexheimer,1
Ioav+Waga,13
Luiz+Santos,12
Masatoshi+Fujimoto,3
Dmitri+Petrov,13
Yasuaki+Onodera,1
ALLAN+GRIFFIN,1
Kiril+Hristov,1
Tommaso+Gabbriellini,1
Karl+Besocke,1
Takahiro+Yabuuchi,1
Sudhakar+Yarlagadda,19
Bhargav+Rallabandi,1
Henrik+Schulze,1
Michael+Bachman,1
Jonas T.+Karlsen,2
Joyce+Garden,1
Fumitaka+Hayashi,1
Gouri Shankar+Tripathi,1
Hans-Jürgen+Sommers,21
Anatoly E.+Tolpin,1
Pascal+Chauve,6
Matthias+Reichelt,1
Matthew+Hewitt,1
Peter G.+Wohlmut,2
Emily+Mount,1
Nobuchika+Okada,80
Neeraj+Kumar,7
Mario+Rasetti,11
H. Duygu+Ozaydin,1
William+Stacey,1
Michael+Pippig,1
José Alejandro+Rosabal,1
Satoshi+Yukawa,9
Emanuele+Orazi,1
Arnab+Mukherjee,3
Emmanuelle+Rio,1
Hajime+Inaba,2
Takuya+Susuki,1
Nikhil+Kumar,1
Jiro+Yoshida,1
Claire+Donnelly,3
William C.+King,5
Frank+Endres,1
Rafał+Kuś,1
Daria+Popova-Gorelova,3
Markus+Böhm,3
Miranda+Holmes-Cerfon,2
Bernhard+Goller,1
Dibya Kanti+Mukherjee,1
Chungjong+Yu,2
Ciarán+Hickey,2
Martin+Neugebauer,3
Valerii V.+Maximov,1
Bastian+Jungnitsch,5
Masashi+Yoshida,3
Marvin+Willers,1
Johannes+Courtial,7
Antoine+Goujon,2
Yasuhiro+Mochizuki,1
Volodymyr+Turkowski,6
Supeng+Kou,3
Wolfgang+Mauerer,3
Philip A.+Shea,1
Rahul+Marathe,6
Andreas+Schärer,2
Sakura Nishino+Takeda,4
Jonathan D.+Denlinger,4
Chris+Kottke,1
Markéta L.+Munzarová,1
Frédéric+Aniel,4
Andreas+Schönhals,5
Fritz+Gassmann,1
Laurent+Duraffourg,1
Valer+Tosa,5
Vincent+Lin,1
Xianggang+Qiu,5
Albert L.+Hutchinson,4
Jacqueline+Krim,1
Naoko+Kurahashi,2
Axel+Müller-Groeling,9
Bikash Chandra+Gupta,1
Jens-Christian+Meiners,5
Sven+Stienen,2
Benoit+Semelin,1
Hubert K.+Chan,1
Marine+Verseils,1
Mauricio+Carrillo-Tripp,1
Emanuele G. Dalla+Torre,2
Sebastian+Eckert,1
Martin V.+Ferer,1
Monalisa+Patra,9
Renato M.+Fonseca,5
Thierry+Roisnel,1
Soichiro+Okamura,1
Issac+Freund,1
Vera+Novak,2
Edwin+van der Pol,1
Vladimir+Timoshevskii,5
Antoine M.+van Oijen,2
Wendell H.+Potter,3
Andrzej+Daniluk,1
Thierry+Michel,1
Colin L.+Freeman,3
Thierry+Mora,13
Chester J.+Szwejkowski,2
Carena+Daniels,1
Yağmur+Aksu Korkmaz,1
Yoshimi+Tanaka,3
Mélanie+Ferrié,1
Alexeï+Bosak,1
Philippe+Dieudonné,1
Peter+Glans,3
Otavio+Socolowski,2
Piotr+Lange,1
Takahiro+Nakamura,1
Reed F.+Riley,2
Christopher+Lefky,1
Reijiro+Kubo,3
Bernhard+Schrefler,1
Y. Henry+Wen,2
Roland+Glantz,1
Alexander W.+Glaetzle,2
Bojana+Popić,1
Laura+Tedeschini-Lalli,1
Ryuichi+Wada,1
Jérôme F. L.+Duval,1
Katalin+Varjú,3
Christian+Lerminiaux,1
Joachim+Fischbach,2
Eoin+Kerrane,3
Younes+Javanmard,1
Jacques+Dupont-Roc,2
Günter+Majer,2
Marcus+Heuberger,1
Teodor+Zaharia,1
Daichi+Muranaka,1
Donald P.+Schneider,3
Raúl+Gago,2
Marco+Borghesi,1
Aga+Shahee,1
Hannah+Funk,1
Elias+Coniavitis,1
Cristina+Navio,2
Timothy P.+Lodge,14
Florian+Strigl,1
