Name,Productivity
Christopher+Eltschka,18
Niclas+Carlsson,1
Torgeir Bryge+Ødegården,1
Rembert A.+Duine,7
Atsushi+Higuchi,38
Charles M.+Marcus,8
Prashant+Singh,5
Stanley E.+Sobottka,4
Emily+Shields,1
Shikha M. M.+Al Sebiey,2
Donald+Ogden,1
A. Garrett+Lisi,1
Pascal+Puphal,1
Evan L.+Thilo,1
Akihito+Takeuchi,6
Hidenori+Kohzuki,1
Hiromi+Hayama,1
Steven+Hancock,1
Georgy+Ganchenko,1
Stefan+Lenz,1
Henrik W.+Anthonsen,1
William+Sellyey,1
Rainer+Kurre,1
Ryoutaro+Watanabe,8
Rudolf+Rüffer,7
Akira+Isoya,2
Peter H.+Backx,1
Laurens K.+Verheij,8
Michael+Kahana,1
Borja+Ibarz,3
Hugh+Bradner,24
Dragan+Stojkovic,4
Sylvia+Matzen,1
Kouichi+Kuboya,1
Alexis+Burdeau,3
Ntina+Savvidou,2
Alexander+Punnoose,9
Sergey F.+Mironov,1
Imad+Ibrahim,1
Máté Csaba+Sándor,1
Jacek+Zaranek,1
Michael+Horn-von Hoegen,1
Johanna+Piilonen,2
Manuela+Lima,1
Scott W.+McCue,7
Satoshi+Ikame,2
Cathal B.+O'Donovan,1
Himanshu+Pandey,1
Behrouz+Amini,2
Anatoli+Muravski,1
Ramiz+Daniel,1
Svetlana+Klyatskaya,1
Roberto G.+Pérez,1
Chiyan+Luo,4
Emad F.+Aziz,5
Junko+Ohashi,5
Åshild+Fredriksen,1
Kenichi+Ozawa,3
Daniela M. L.+Barbato,1
Michael+Rader,1
Arthur+Rich,13
Kenzo+Ishikawa,5
Lluís+Balcells,4
Masae+Kikuchi,2
Takashi+Okada,3
Kanako+Sato,1
Riccardo+Sabatini,3
Kenneth M.+Case,2
William L.+Hansen,1
Roger D.+Woods,11
Célian+Bimbard,1
Tanaji+Sen,6
Biswanath+Chakraborty,1
Dimitrios A.+Papaconstantopoulos,12
Holly N.+Tinkey,1
Alexandre+Revcolevschi,9
Timothée+Leleu,1
Sean+Fleming,34
Edgar+Páez,2
Petru+Lunca-Popa,1
Costas+Dimitropoulos,4
Motoo+Yumura,3
Francesco+Benini,6
Wilfred+Kittler,1
Mathieu+Remazeilles,2
Lorenzo+Sebastiani,2
Andrey V.+Volotka,1
Sandeep+Tyagi,4
Lorenzo+Fusco,2
Mitrabhanu+Sahu,1
H. Kumar+Wickramasinghe,1
Avi+Bino,1
Yoshifumi+Harada,1
Anirudh Raju+Natarajan,1
Keiko+Kaminaga,1
Patrick+Bontoux,1
Marc+Davis,3
Sergei M.+Stishov,11
Pascal+Reiss,2
Dirk+Scholz,1
Nobuhiko+Sone,1
Pierre+Ferrier,2
Katalin+Solt,1
Rosa+Caballol,2
Livio+Amaral,2
Theodora+Kyratsi,3
Michael+Martins,6
Andrei O.+Barvinsky,3
Samia+Moharram,1
Ronald E.+Giedd,1
Gina+Passante,3
Arnold M.+Denenstein,1
Sergey V.+Barabash,9
Mahesh M.+Bandi,1
Gabriel F.+Herrmann,2
Marcus J. B.+Hauser,11
Masahiro+Imachi,1
Hiroyuki+Takakura,7
Toshiharu+Ohnuma,1
Massimo+Rontani,26
Arash+Tirandaz,1
Joel S.+Pendery,1
Jordi+Mach,1
Cristiano F.+Woellner,1
Guillaume+Lang,4
José+Barzola-Quiquia,1
Mónica F.+Ramírez,1
Gilbert P.+Holder,2
László+Rátkai,1
James V.+Maher,1
Michael F.+Petras,1
Chigusa+Ohbuchi,1
Shogo+Kawano,2
Michel+Droz,45
Hiroshi+Kunitomo,4
Nathalie+Vigneron,1
Peter+Hähner,2
Alexandre+Morin,1
Eben+Kenah,1
Felipe A.+Bulat,4
Alexander B.+Tayler,2
Harry G.+Rennagel,1
Aditi+Sen(De),69
Cynthia M.+Flanigan,1
Dietrich+Langer,2
Giacomo+Priante,1
Giorgio+Matteucci,1
Ludovic+Berthier,58
Gerd+Rudolph,1
Gabriella+Profilo,1
Olivier+Napoly,3
Masataka+Mizuno,5
Matteo+Gatti,22
Tushar Baran+De,1
Graham+Town,1
Sumire+Kobayashi,3
Michal+Fárník,1
Martin+Monloubou,1
Ivan+Deutsch,3
J. Mauricio+Torres,1
Seshadri+Jagannathan,1
Urs+Bisang,2
Raymond+Lutz,1
Charles E.+Roos,13
Antoine+Salin,1
Markus+Schenk,2
Robin+Perry,2
Craig W.+Hogle,1
Heidi+Kuismanen,3
François-Xavier+Ouf,1
Sameep+Chandel,1
Ivette F.+Oppenheim,1
Luca+Caneschi,2
Milica+Todorović,1
William A.+Chupka,1
Ilya+Sinayskiy,8
Morton K.+Brussel,10
Fernando B.+Morinigo,5
Louis+Kauffman,1
Todd+Garon,1
Marco+Muccino,1
Karsten+Jedamzik,19
Adrian L.+Kiratidis,1
E. Galleani+d'Agliano,1
Miroslav+Frost,1
Muhammad+Irfan,3
Anatoli M.+Frishman,1
Göran+Niklasson,1
Kristina D.+Sviratcheva,1
Nuno+Cardoso,2
Mahdiyar+Noorbala,2
Midori+Kawamura,1
Guilhem+Simon,1
Gábor+Orosz,4
Norman+Knable,2
Francois+Baudelet,1
Kirsten+Deitrick,2
Grazia M. L.+Consoli,1
Jeffrey+Heward,3
Suresh+Pereira,5
Hiroshi+Uechi,1
Anton+Zabrodin,3
Jerzy+Antonowicz,1
Saroj+Adhikari,2
Adrián+Gómez Pueyo,1
Apostolos+Kuiroukidis,1
Natalia+Borjemscaia,1
Chris+Frank,1
Erlend Magnus+Viggen,2
Michael A.+Hsieh,1
Stanisl/aw+Kryszewski,1
Yuta+Yamada,1
Masafumi+Oikawa,1
Diogo+Capelo,1
Steve L.+Hulbert,1
Igor+Halperin,8
Serguei+Tchoumakov,1
W. Louis+Barrett,2
W. M. Edmund+Loh,1
Endre+Lillethun,2
Samuel L.+Braunstein,71
M. Metehan+Türkoğlu,1
Mathew D.+Halls,2
Erica D.+Perryn,1
R. N. Costa+Filho,4
Yuichi+Ohara,4
Gail C.+McLaughlin,13
Ihor+Holod,1
Akio+Takahashi,2
Andrés+Córdoba,2
Mario+Scheel,3
Christian H.+Schunck,2
James M.+Phillips,17
Gabriele+Umbriaco,1
Stanisław+Kwitnewski,2
Meers+Oppenheim,1
Mario+Novak,3
Pierre+Courtois,1
Michael+Grisham,1
Riccardo+Capovilla,9
Shekhar+Guha,2
Petre+Constantin,1
Mickey+Chiu,1
Gabriele+Nelles,2
Joaquín+Delgado,1
Frances G.+Wick,26
Michel+Meunier,4
Marine+Reynaud,1
Stanislaus+Janowski,3
Rahul+Sharma,1
Riccardo+Messina,21
Frank+Tseng,1
Kazumasa+Yamada,1
Leonid V.+Litvin,1
Marissa+Giustina,3
Evgeny P.+Pozhidaev,2
Carla+Roetti,5
Sylvain+Lassarre,2
Marianne+Breinig,2
Vladimir+Shuvayev,1
Mochizuki+Ryosuke,1
Peter L.+Stiller,1
Kenta+Futatsukawa,1
Jason+Dominy,2
Eyvind+Wichmann,2
Mari+Kubota,2
Dimitrios+Toroz,1
Tsutomu+Ohshima,1
Akira+Umemura,2
Gerold+Betschart,5
Andy M.+Reynolds,1
Günther+Rupprechter,1
Wojciech+Gadomski,1
Pauline+Labelle,1
Barbara M.+Terhal,24
Terry+Quinn,2
Patricia+Metcalf,1
Hadi+Kasani,1
Steven M.+Lund,9
Jonathan+Walsh,2
Walter M.+Krawczonek,1
Kaushiki+Mukherjee,3
Fabrizio+Lillo,14
Rita D.+Bonetto,3
Frank N.+Edmonds,2
Giuseppe+Bozzi,2
Sukesh+Roy,5
Stephan O.+Hruszkewycz,1
Willem+Van den Heuvel,2
Carlos E. F.+Haluch,1
Tobias+Törndahl,1
Thore+Graepel,1
Chris+Longden,3
Margarida+Facão,1
Alexander C.+Kalloniatis,4
Nanase+Kohno,1
Tomoko+Kadoyoshi,2
Sergio+Fanchiotti,2
Youngjoon+Kwon,1
I. Panneer+Muthuselvam,3
Pejman+Jouzdani,2
Laurent+Ponson,5
Gerhard+Schmid,3
Per+Andersson,2
William J.+Titus,1
Elena+Popova,3
Hubert H.+Race,6
Manabu+Nishimura,1
Aron M.+Bernstein,3
Maurice M.+Shapiro,18
Jaegil+Kim,5
Christer+Persson,1
Clyde+Riley,5
Cole W.+Litton,1
Marco-Polo+Jimenez-Segura,2
Martin T.+Zanni,2
Ivar+Hamberg,1
Gulzar+Singh,11
Geoffroy+Lerosey,10
Georg+Menzl,1
Jarosław+Krawczyk,2
Norbert+Memmel,5
Frank L.+Roth,2
Thor A.+Bak,2
Raktim+Sarma,7
Jihwan+Kwon,1
Nuria+Aliaga-Alcalde,1
Hiroshi+Nanba,2
L. Madhav+Rao,2
Kristian D.+Merkel,1
Fernando+Rodríguez,7
Wafia+Bensalem,2
Brynan+Qiu,1
Peter J.+Millet,1
Julie+Bourgeois,1
Steffen+Holzinger,1
Bernd+Hezel,4
Tullio+Scopigno,7
Michael A.+Ball,1
Farhad+Salmassi,2
Kazuki+Iida,5
Fred M.+Johnson,2
Scott+Lee,1
Howard Howland+Brown,4
Ulrich K.+Rößler,4
Pedro J.+Martínez,9
Joel+Mazer,2
William L.+Kruer,1
Harvey Brace+Lemon,2
Tadashi+Shimizu,8
Bhagat S.+Yarlagadda,1
Tsukasa+Matsuura,1
Rajeev+Ranjan,31
Terrence J.+Udovic,4
Gregory+Hallenbeck,1
Armin+Dadgar,2
Michel+Zamboni-Rached,9
Ulrich+Henne,1
Alessandro+Ricci,3
Donald K.+Berkey,4
W. L. Kimmy+Wu,1
Sami+Mitra,1
Peter+Košovan,2
Oscar+Hipólito,25
Vladimir R.+Tuz,2
Toshihiro+Shimada,2
Angelos+Michaelides,23
Bernd+Meurer,1
Pavel+Jánský,1
Saikat+Guha,18
Koichiro+Matsumoto,2
Subal+Das Gupta,5
Sergey V.+Sukhov,1
Oliver+Winkler,5
James+Gupta,1
Melba+Phillips,11
Rainer J.+Stöhr,1
Alejandro+Frank,9
Tomoya+Tamura,1
Akshata+Shenoy H.,1
Dieter+Horn,1
Markos+Karasamanis,1
Matteo+Cataneo,1
Dušan S.+Golubović,1
Andrea+Perali,3
Samer Al+Akhrass,1
Igor+Tupitsyn,2
Markus+Bobrowski,3
Igor+Bray,106
Viviana+Niro,5
Jacob+Morzinski,2
Duncan H. J.+O’Dell,2
Petro+Maksymovych,1
Howard H.+Brown Jr.,1
Tomer+Yanir,1
Hitoshi+Yamamoto,8
Jérôme+Losson,5
Ray+Pepinsky,15
Nicola+Vittorio,7
Michael+Todt,1
Henry+Greenside,2
Kornel+Richter,3
Takuma+Nakamura,1
Lester F.+Bird,2
Irwin G.+Priest,4
Shrirang S.+Deshingkar,1
Pragati+Mukhopadhyay,1
Martin+Kamp,18
Kanglin+Huang,1
Takashi+Yatsui,1
Riccardo+Argurio,10
Amlan+Dutta,1
Takeo+Tanaka,1
Christoph+Adam,3
Benjamín+Sierra-Martín,1
Rudolf+Pfeiffer,1
Pedro R.+Bertussi,1
Andreas+von Kienlin,1
Jakob+van Santen,1
Mario+Pitschmann,3
Sungwoo+Hong,2
Sander J.+Tans,1
Alfons A.+Stahlhofen,1
Esben Ravn+Andresen,2
Jonathan E.+Grindlay,1
Alp Deniz+Özer,1
D'Artagnan+Greene,1
Didier+Guyomarc’h,1
François+Le Gall,2
Irina+Dvorkin,1
Kara+Richter,1
Cornelius+Bausch,1
Mandar M.+Inamdar,2
Andrés+Díaz-Gil,1
Steven+Dorsher,2
Héctor+Mejía-Díaz,2
Birger+Bergersen,13
Dietolf+Ramm,4
Fabian+Spill,1
Neil+Gershenfeld,1
Martin+Copic,1
Achim+Peters,7
Fiona C.+Speirits,1
Alexey+Chopovsky,2
Suzanne+Sears,3
Manfred+Raether,1
Chris+Ramsey,1
Gabriela+Buica,6
Pekka+Manninen,2
Raymond P.+Marchi,4
Peter E.+Selbmann,2
Vitalie+Eremeev,3
Anna M.+Chizhik,3
Anders C.+Jakobsen,1
Martin R.+Pollak,2
Giuseppe+Patera,3
Sangchul+Oh,22
Holger+Adam,1
Ivan C.+Christov,5
Parthasarathi+Majumdar,26
Oliver+Preuss,2
Johannes+Schachenmayer,5
Yitzchak+Lockerman,1
Walter+Tangarife Garcia,1
Matthias+Raunhardt,1
Andreas+Schulz,3
Tomoyuki+Ishii,1
Lois M.+Hoffer,1
Wilhelm+Macke,11
Peter+Rafailov,1
Rachel+Glenn,1
M. Matti+Maricq,10
Dominique+Guillot,1
Armin+Gölzhäuser,1
Oriol+Güell,1
Pierre+Gratia,4
Stanley A.+Strauss,1
Mehmet Burcin+Unlu,1
Julius+Orwa,2
Nara+Kim,1
Jocelyn+Read,3
Victor M.+Pérez-García,1
Franklin F. Y.+Wang,1
Ugo+Abbondanno,1
Shinichi+Tomimoto,4
Manju L.+Rao,1
Hiroki+Okawara,2
Michael+Shimogawa,2
Mianheng+Jiang,3
Nikhil+Padmanabhan,13
Sergey+Lushnikov,1
Henk van+Beijeren,1
Matt P.+Harrison,2
Magnus+Aldén,4
Yvette+Cauchois,2
Theodore W.+Frison,2
Braden+Feshami,1
Steven J.+Gitomer,1
Gustavo A.+Contrera,1
Terry+Gannon,2
Jan+Zylicz,1
Alistair S.+Cameron,1
Bernard+Bigeard,1
Laurence+Passell,1
James+Antonaglia,1
Kensaku+Ito,4
Hugo+Jacquin,8
Toru+Ogawa,1
Seungwon+Lee,7
James M.+Goldey,2
Michael+Rübhausen,4
Michael+Lambacher,1
Marwan+Jadid,1
Charles W.+Bauschlicher,11
Teresa M.+de Pascale,1
Antony A.+Wills,2
Costantino S.+Yannoni,3
Hisashi+Hayashi,6
Lev D.+Gelb,4
Pierre+Pfeuty,10
Miguel+Pruneda,4
Yoshihiro+Hamakawa,5
Gerard T.+Barkema,5
Hans-Joachim+Ernst,4
Eiichi+Watanabe,1
Reza+Javadinezhad,1
Yumeng+Xiao,1
Naoki+Homma,1
Peter+Baekler,3
Satoshi+Shinozaki,1
François+Perrot,19
Jason E.+Dowd,1
Merel D.+Leistikow,1
Maurice L.+Huggins,20
Aleksey V.+Belyaev,3
Jennifer+Alameda,1
Toshihiko+Kadono,3
Alexander+Zhang,1
Karl-Heinz+Schartner,1
Roland+Kaschner,1
Ester+Piedipalumbo,1
Martijn+Kemerink,6
Aiguo+Wu,1
Hayk+Harutyunyan,2
Gregory+Jennings,1
James P.+Nolta,2
Muzio+Grilli,1
Bruce+Farber,1
Colleen+Chen,1
Kenji+Kojima,1
Frank T.+Shively,3
Antonio+Padilla,15
Marina+Pivetta,13
Alastair+Stacey,6
Morton H.+Rubin,45
Jens+Ribbe,1
Seth S.+Cottrell,1
Hiroyuki+Awano,2
Brent+Walker,1
Marina+Klionsky,1
Sylvie+Landry,2
V. Gordon+Lind,6
Kurt+Hammerschmidt,1
Silvia N.+Santalla,4
Frank E.+Jaumot,6
Carlo+Cosmelli,1
Alexandre+Bouhelier,5
Annette+Mühlpfordt,1
Ikaros I. Y.+Bigi,1
Isao+Sumita,3
Nikolay A.+Mordovets,1
Avinash+Sharma,7
Okan+Esenturk,1
Mandeep+Kaur,2
Janet+Whitesell,1
Olle+Gunnarsson,15
Adrian D.+Hillier,4
Evgeni+Burovski,10
Pierre+Fromholz,1
Jonathan P.+King,2
Antonio+Leal,1
Noa+Rosenthal,1
Neelima+Paul,3
Carlo+Carraro,18
Tomohiro+Usui,1
Elias C.+Vagenas,8
James R.+Lhota,1
Gene H.+McCall,6
Tadeusz+Suski,2
Sylvie+Magnier,1
Ramis+Örlü,1
Charles E. St.+John,4
James C.+Osborn,7
Jason P.+Keith,4
Maxim+Naumov,1
Lewis J.+Atkinson,1
Ekrem+Aydıner,1
Samantha+Hooley,1
Alexey G.+Petrov,1
Koshiro+Suzuki,6
Julius+Ashkin,9
Eleftherios N.+Economou,6
Lev O.+Krainov,1
Giorgio+Tondo,1
Vikrant+Yadav,1
Motohiro+Matsuura,1
Kavan+Modi,21
Gabriele+De Chiara,21
Masaomi+Yoshida,1
Oscar+Mesquita,1
Hiroyuki+Morimoto,1
Khang+Hoang,19
Matthew S. J.+Marshall,1
Kiyoshi+Miyata,1
Maciej+Maliborski,4
Eko H.+Purnomo,3
Tatsuya+Kimura,1
Adam+Hubbard,1
Minoru+Kurimaya,1
Takahiro+Ezaki,6
Yoshiro+Saji,1
Allan A.+Hirata,3
Bartolo+Luque,8
Ágnes+Buka,26
Hiro+Tawara,2
Sergey A.+Prosandeev,2
Christian+Fricke,1
Luca+Pezzé,10
Hendrik+Ammoser,1
Patric A.+Gruber,1
Yoshiki+Kizukuri,3
Dmitry V.+Fursaev,1
Héctor J.+de Vega,2
James J.+Riley,4
Harold C.+Box,2
Jacob+Grun,1
Moshe+Deutsch,40
James L.+Crooks,1
Pawel+Masiak,1
Uwe+Hübner,2
Pietro+Guarato,1
Marián+Mihalik,1
William G.+Cullen,3
Jason M.+Amini,4
Bohyun+Lee,1
Spiros+Alexiou,5
Louis K.+Jensen,2
Peyman+Pirooznia,1
Masahiro+Mikuriya,1
Órin+Dahl,1
Christine+Davies,1
James+de Lisle,2
Jeremy L.+O’Brien,15
Eigo+Kishi,2
Brad N.+Engel,2
J. Charles+Hicks,1
Karsten+Moldenhauer,2
Malcolm P.+Hanson,2
Tomislav+Prokopec,33
Satadal+Bhattacharyya,4
Aleksandar+Gjurchinovski,3
Pál+Ormos,1
Costas D.+Sarris,4
Paweł+Sadurski,6
Reginald G.+Lacount,4
Christine+Neipert,1
Luca+Dell'Anna,5
Florencio+García-Santamaría,1
Kenton D.+Hammonds,2
Sune+Jespersen,1
János J.+Ladik,1
Thorsten+Köddermann,1
Jayanti+Prasad,4
Christian+Notthoff,5
Mitsuhiro+Fukushima,3
Peter D.+Yedinak,2
Miguel+Pato,9
Tsung-Tsong+Wu,10
Panagiotis+Grammatikopoulos,1
Ulrich+Böttger,1
Jouko+Lahtinen,2
Manuel+Perucho,1
Shin’ichi+Hirano,1
Emmanuel+Trizac,38
Gustavo+González-Martín,3
Jakub+Bilski,1
François+Schosseler,2
Clara+Granell,3
Francisco+Pena-Benitez,1
Timothy J.+Mays,1
Fernando+González-Caballero,1
Todd L.+Williamson,1
Max+Kahmann,2
Gregory R.+Corallo,2
Mamata+Bhattacharya,1
Raffaele+Colombelli,5
Anna Chiara+De Luca,1
Marco G.+Mazza,8
Taisuke+Ishihara,1
Angus+Bell,1
Márton+Karsai,4
Masaki+Tsujimoto,2
Holger+Schmidt,3
Hyoungdo+Nam,1
Hans+Kruger,2
Yasha+Karant,1
Fernando+Palacio,8
Leanne M.+Beaty,1
Maximilian+Genske,3
Arnold J. F.+Siegert,8
Neil D.+Treat,1
James Q.+Quach,5
Muhammad+Imran,2
Michał+Antkowiak,2
Pierre+Disseix,1
Sathya+Guruswamy,1
Konstantin+Pichugin,2
Gulzari+Malli,2
Michele+Pavanello,4
Kari+Härkönen,6
Andrei+Diaconu,2
Haim+Weissman,4
Wolfgang+Stein,1
Hideaki+Takahashi,2
Hugh R.+Brown,2
Lorenzo+Mazzacurati,1
Takahiro+Okabe,1
Alexandru+Aldea,1
Michihiro+Hori,1
Harry+Nyquist,3
Bernard J.+Kelly,15
Nils+Nordell,1
Antonio+Vairo,30
Christine+Audo,1
Biswaranjan+Das,1
Hector Garcia+Morales,1
Toma+Toncian,1
Lisa+Angelos,1
Toshikazu+Kaneno,1
Donald D.+Gray,3
Yoshinari+Nakagawa,1
Hiroshi+Nagasawa,1
Ilies+Messamah,2
Michael J.+Booth,4
Jonas C.+Cremon,1
Ignacio+Salazar Landea,1
Alain+Le Yaouanc,1
Charles+Peacock,2
Melvyn+Ho,3
Luciano C.+Lapas,2
Shrivalli N.+Bhat,1
Serap+Dalgiç,1
Katarzyna M.+Sowa,1
Sebastián+Castro-Galnares,1
Yasumasa+Tsukamoto,1
Dave+Inglis,1
M. Ahsan+Nazer,1
Jonathan+Plumridge,1
Jennifer R.+Soliz,2
Tyler N.+Shendruk,2
A. Guzman+de Garcia,1
Samuel E.+Taylor,1
Keith+Weninger,4
Thierry+Barisien,1
Hervé+Rigneault,16
Roger S.+Estey,2
José L. F.+Barbón,1
Line+Kalhøj,2
Takashi+Yamamoto,36
Franz A. M.+Koeck,1
Iosif+Galanakis,4
Kamal P.+Singh,10
Sergey+Yeremenko,1
Sergei M.+Kopeikin,8
William Alfred+Fowler,4
Scott W.+Chambers,1
Leonardo C.+Ribeiro,1
Kenshiro+Otsuki,1
Mehmet F.+Su,1
Susanta+Mahapatra,1
Nasser Mohieddin+Abukhdeir,3
James S.+Brooks,9
Dafiné+Ravelosona,1
Vittorio+Pellegrini,31
Avishek+Ghosh,1
Andres+Cuevas,1
Petros+Vosnidis,2
Andreas+Lüdeke,1
Ioannis+Karamouzas,1
Masayuki+Kase,1
Marcin+Fia|A*lkowski,2
Roshan+Sharma,1
Michael S.+Petersen,1
Ofir E.+Alon,49
Michael R.+Koerner,1
Steven W.+Haan,3
Andreas+Rüdinger,1
Thierry+Ondarçuhu,3
Gevorg+Muradyan,2
Soodeh+Haghgoo,2
Syoji+Yamanaka,2
Tomoyuki+Nagaya,9
Fumiko+Takagi,4
Michael P.+Eastwood,4
Jagat+Narula,1
Michel+Lintz,1
Somnath+Bharadwaj,4
Hiroshi+Okabe,1
Silvia+Bergamini,1
Hans-Joachim+Schellnhuber,5
Alfred B.+U'Ren,1
Andreas+Fuhrer,8
Philipp R.+Ganz,1
Nguyen Hoa+Hong,6
Sandro+Massidda,9
Michael D.+Seltzer,2
Charles F.+Clement,1
Kota+Kawahara,1
Hikaru+Nomura,1
Hana M.+Dobrovolny,1
Michael J.+Regan,2
Kazuya+Nakane,2
Andrej+Ažman,3
Charles E. A.+Finney,1
Koen G.+Winkels,3
N. Berrah+Mansour,3
Joris+Raeymaekers,1
Les+Gasser,1
Manuel+Rodrigues,2
Neil N.+Carlson,1
Gernot+Füchsel,2
Carlos+Hernández-Monteagudo,2
Vela+Mbele,1
Erik+Chell,1
Abdullah+Algin,3
James+Hartle,7
Bernhard+Weber,1
Martin+Greenspan,4
Andrea+Parisi,3
Yoshiro+Hirayama,13
Jeff+Moehlis,8
Rohit P.+Prasankumar,1
Jens+Wiebe,5
Samuel A.+Isaacson,3
Joel D.+Kress,19
Ranasinghe P. K. C.+Malmini,1
Nele+Moelans,2
Hisashi+Yamamoto,2
Corey+Oses,1
Arnold+Prostak,4
Lamberto+Duò,7
Gokul+Gopalakrishnan,2
Jérôme+Kunegis,1
Dorin-Cezar+Ionescu,1
Jerome B.+Hastings,2
Claire+Simon,2
Pietro+Asinari,8
Eva+González Noya,1
Saime+Solmaz,4
Ronald+Ulbricht,1
Harold K.+Ticho,41
Raúl+Rabadán,1
Jahan+Dawlaty,1
Ulrich+Zerweck,1
S. Hidayat+Hasan,1
Masahiro I.+Kohira,1
Pavel+Kovtun,10
Ahmed E.+Elbanna,4
Tatyana A.+Sergeeva,3
Johannes+Gambari,1
James+Dewald,1
Maxim+Zelnikov,1
Takuji+Takahashi,1
Emilian Marius+Nica,1
Magnus+Haw,1
Ernesto P.+Danieli,5
Ronald D.+Schrimpf,2
Igor V.+Schweigert,5
Sarika+Bhattacharyya,2
Takakazu+Yamamoto,3
Patrick+Hanusse,1
Linda+Hamonou,1
D. Bruce+Chase,1
Arata+Tsukamoto,1
Mikhail B.+Sheftel,1
François+Konschelle,5
Dimitrios+Metaxas,5
Dirk+Vogel,4
Francisco S. N.+Lobo,16
Zoya+Ignatova,1
Kohji+Nobugai,1
Alexey+Jalnine,1
Mayank+Mehta,1
Hilding+SlÄTIS,2
Hanspeter+Herzel,7
Eduardo+Gonzalo Badía,1
Ritsuko+Fujii,1
Dirk+Hessinger,1
Chérif+Nouar,1
Monamie+Sanyal,1
Kazuhiro+Nishimura,1
Allan S.+Jacobson,1
Linda+Spentzouris,4
Marco+Letizia,2
Balázs+Mikóczi,6
Gopal Krishna+Pandey,3
Andrei L.+Shelankov,2
Bill+Reichman,1
Takuya+Kohno,1
Vera N.+Smolyaninova,6
Leonard+Fister,6
Oliver+Cohen,6
Brigitte+Pépin-Donat,1
Frédéric+Cherioux,1
Peter+Fulde,79
Dorian+M. Hatch,1
Sergey+Gavrilyuk,1
Alberto+González-Castrillo,3
Stefaan+Poedts,2
Danyal+Winters,1
Akihiko+Kikuchi,1
Taku+Ueda,1
Andriy+Kurylov,7
Mayo+Miller,2
Tomasz+Plackowski,1
K. Ashoke+Raman,1
Johan+Åkerman,28
Cedric J.+Gabriel,2
Neill+Lambert,29
Guanglei+Xu,1
Christina+Hoffmann,1
Chandan+Mondal,4
Begoña+Tomás-Navarro,1
Irina V.+Balakireva,2
Michał+Krych,5
Michael D.+Determan,1
Taekyung+Kim,3
Nathalie+Mukolobwiez,4
Jayeeta+Bhattacharyya,1
Kazuyuki+Tanaka,8
Bland+Houston,7
Gerald+Cleaver,6
James+Badro,10
Leonid+Burakovsky,8
Zachary W. E.+Evans,4
Ansgar+Schmid,3
Ola+Wilhelmsson,2
H. Scott+Fogler,1
Thierry+Caillat,2
Joost N. P.+van Stralen,1
Benedikt+Schlederer,1
Yoichi+Kazama,19
Harold J.+Plumley,6
Christina+Grot,1
Romain+Grossier,1
Issoufou+Guingarey,1
Cisco+Gooding,2
Matthias+Michler,1
Torsten+Scholak,2
Slimane+Hellal,1
Akinori+Tanaka,23
Gabi+Köpp,1
Soizic+Cheminant,1
S. Saad+Alam,1
Anna+Rubaszek,2
Nitin+Chandra,1
Camille+Lagoin,1
Akash+Chakraborty,3
Olga K.+Dudko,5
Ján+Brndiar,1
Jose A.+Brum,1
Toshiya+Hikihara,15
Charles+Hagwood,1
Catherine+Kanimozhi,1
Martin+Hendry,1
Akira+Kokado,6
Joel P.+Skelton,1
Raoul+Heese,2
Adam P.+Holt,1
Chris+Schmitt,2
Clément+Sire,39
Constantin+Job,1
Airidas+Korolkovas,1
Colin+Wilmott,2
Johannes P.+Werner,1
Sébastien+Burdin,6
Tanmoy+Banerjee,11
Junko+Ishi-Hayase,2
Steven+Russell,1
Yannis+Semertzidis,1
Stefano+Moretti,26
Peter+Kroll,10
Mohamed E.+Madjet,9
Syo+Kamata,1
W. Michael+Howard,3
Howard+Nathel,1
Badr+Kaoui,5
Alexej+Weber,3
Sandeep+Vohra,1
Martina+Miková,5
Smaragda+Lola,2
J. Brooke+Koffend,1
Anibal+Gavin,1
Anne+Renault,1
Pavlo+Zubko,1
Alessandro+Tronconi,4
Wilson M.+Powell,66
Muralidhar+Ambati,2
Arthur L.+Foley,9
Deh-phone K.+Hsing,1
Allan+Franklin,1
Naoaki+Saito,6
Xiaodun+Jing,6
Marc+Eberhard,1
Rolf+Fliegauf,1
Gustavo+Castellano,1
Camillo+Cammarota,1
Takashi+Wakasugi,2
Adolf+Neckel,1
Tsuyoshi+Sekitani,1
Mateusz+Krzyżosiak,1
Roger G.+Newton,62
Timothy I.+Morrison,1
Prasant+Samantray,3
Frank+Reininghaus,6
Sabrina+Gaito,1
Mahdis+Ghodrati,2
Stefan+Strauf,1
Gordon R.+Harrison,2
Yohei+Kondo,2
Anjan+Giri,2
Mehdi+Tabrizi,1
Roger L.+Lichti,4
Céline+Desvaux,1
Rudolf+Mitsch,1
Anna+Cavallo,1
Tomohiro+Shimizu,1
José R.+Fermn,1
Koichi+Kanazawa,7
Nilton P.+Silva,1
Neil Y. C.+Lin,1
F. Joachim+Hartmann,1
Glenn+Tørå,2
Kiyoshi+Higashijima,5
Stefan+Schumacher,14
Roberto+De Renzi,7
Roger+Becker,1
Wolfgang+Tschöp,1
Chris+Kucharczyk,2
Naba K.+Mondal,1
Tatsuya+Uno,1
Torsten+Kachel,1
Hideto+Imai,2
Alexander J.+Silenko,22
Oscar+De Feo,1
Wun-Jheng+Syugu,1
Conor+Mow-Lowry,1
Alexander+Macfarlane,2
Michael D.+Scadron,33
