Name,Citation Count
Kenneth B.+Mitchell,22
Sona+Prakash,95
Paolo+Serra,154
Andreas+Herrmann,14
Stefan+Bretschneider,8
Adolfo J.+Banchio,7
Masa+Tsuchiya,1
Gian Paolo+Brivio,9
Olivier+Boisron,6
Wilfried+Assenmacher,0
Romeu+Castro,0
Julie+Goulet,0
Angelica M.+Stacy,248
Aron C.+Wall,142
Tyler J.+Johnson,10
Frank R.+Graziani,56
Bojan A.+Marinkovic,0
Michael A.+Nielsen,1276
Galya+Blum,22
Ferial+Terki,5
Martin+Kammler,18
Michael+von Ortenberg,28
Mitsuhiro+Tanaka,3
László P.+Csernai,222
Robin+Schürmann,0
Steen+Dannefaer,2
Susanne+Pfalzner,9
William J.+Burke,9
Dominik M.+Bauer,9
Shamashis+Sengupta,5
Hagen+Kleinert,643
Shigenori+Hiramatsu,8
Stefan+Schacht,31
Chariya+Jacobi,0
James L.+Lawson,88
Thaddeus F.+Kycia,15
Wolfgang+Pietsch,2
Michael F.+Stumborg,0
Preben+Hvelplund,8
Jan+Bal/a,56
Klas+Modin,0
Samantha L.+White,15
Manoj P.+Samanta,27
Stefano+de Gironcoli,2350
Petra+Rudolf,134
Farhang+Haddadfarshi,2
Paulo H.+Valadares Pereira,0
Davide+Proment,29
Jonathan D.+Mar,4
Diyar+Talbayev,20
Karen M.+Fonseca-Romero,17
Timothy J.+Beams,11
Simone+Techert,9
Catherine+McCammon,4
Paulos+Chatzis,7
Carlos G.+Granados,4
Bernard B.+Watson,86
Mehdi+Talamali,25
Ágnes+Nagy,41
Walter+Haeffner,25
Adam+Lidz,10
Hiroyasu+Ejiri,21
Colm T.+Whelan,201
Yona+Oren,17
Stanley+Byron,31
Xinyang+Wang,29
Ralf+Busch,23
Susan L.+Dexheimer,53
Ioav+Waga,397
Luiz+Santos,460
Masatoshi+Fujimoto,5
Dmitri+Petrov,46
Yasuaki+Onodera,12
ALLAN+GRIFFIN,8
Kiril+Hristov,1
Tommaso+Gabbriellini,12
Karl+Besocke,14
Takahiro+Yabuuchi,14
Sudhakar+Yarlagadda,129
Bhargav+Rallabandi,1
Henrik+Schulze,0
Michael+Bachman,3
Jonas T.+Karlsen,4
Joyce+Garden,7
Fumitaka+Hayashi,1
Gouri Shankar+Tripathi,2
Hans-Jürgen+Sommers,267
Anatoly E.+Tolpin,0
Pascal+Chauve,340
Matthias+Reichelt,3
Matthew+Hewitt,5
Peter G.+Wohlmut,8
Emily+Mount,2
Nobuchika+Okada,643
Neeraj+Kumar,68
Mario+Rasetti,132
H. Duygu+Ozaydin,2
William+Stacey,0
Michael+Pippig,1
José Alejandro+Rosabal,22
Satoshi+Yukawa,43
Emanuele+Orazi,1
Arnab+Mukherjee,6
Emmanuelle+Rio,2
Hajime+Inaba,2
Takuya+Susuki,38
Nikhil+Kumar,2
Jiro+Yoshida,1
Claire+Donnelly,2
William C.+King,125
Frank+Endres,3
Rafał+Kuś,14
Daria+Popova-Gorelova,4
Markus+Böhm,22
Miranda+Holmes-Cerfon,0
Bernhard+Goller,3
Dibya Kanti+Mukherjee,4
Chungjong+Yu,5
Ciarán+Hickey,13
Martin+Neugebauer,10
Valerii V.+Maximov,0
Bastian+Jungnitsch,85
Masashi+Yoshida,30
Marvin+Willers,0
Johannes+Courtial,145
Antoine+Goujon,10
Yasuhiro+Mochizuki,1
Volodymyr+Turkowski,9
Supeng+Kou,11
Wolfgang+Mauerer,26
Philip A.+Shea,13
Rahul+Marathe,53
Andreas+Schärer,9
Sakura Nishino+Takeda,10
Jonathan D.+Denlinger,25
Chris+Kottke,2
Markéta L.+Munzarová,3
Frédéric+Aniel,34
Andreas+Schönhals,70
Fritz+Gassmann,7
Laurent+Duraffourg,2
Valer+Tosa,34
Vincent+Lin,0
Xianggang+Qiu,3
Albert L.+Hutchinson,64
Jacqueline+Krim,14
Naoko+Kurahashi,1
Axel+Müller-Groeling,109
Bikash Chandra+Gupta,1
Jens-Christian+Meiners,86
Sven+Stienen,8
Benoit+Semelin,1
Hubert K.+Chan,0
Marine+Verseils,0
Mauricio+Carrillo-Tripp,2
Emanuele G. Dalla+Torre,64
Sebastian+Eckert,3
Martin V.+Ferer,4
Monalisa+Patra,15
Renato M.+Fonseca,16
Thierry+Roisnel,23
Soichiro+Okamura,0
Issac+Freund,20
Vera+Novak,2
Edwin+van der Pol,2
Vladimir+Timoshevskii,31
Antoine M.+van Oijen,24
Wendell H.+Potter,18
Andrzej+Daniluk,0
Thierry+Michel,22
Colin L.+Freeman,33
Thierry+Mora,113
Chester J.+Szwejkowski,7
Carena+Daniels,0
Yağmur+Aksu Korkmaz,0
Yoshimi+Tanaka,3
Mélanie+Ferrié,4
Alexeï+Bosak,2
Philippe+Dieudonné,1
Peter+Glans,32
Otavio+Socolowski,11
Piotr+Lange,1
Takahiro+Nakamura,14
Reed F.+Riley,10
Christopher+Lefky,2
Reijiro+Kubo,1
Bernhard+Schrefler,0
Y. Henry+Wen,7
Roland+Glantz,1
Alexander W.+Glaetzle,26
Bojana+Popić,66
Laura+Tedeschini-Lalli,8
Ryuichi+Wada,22
Jérôme F. L.+Duval,1
Katalin+Varjú,110
Christian+Lerminiaux,11
Joachim+Fischbach,8
Eoin+Kerrane,31
Younes+Javanmard,0
Jacques+Dupont-Roc,78
Günter+Majer,3
Marcus+Heuberger,3
Teodor+Zaharia,1
Daichi+Muranaka,2
Donald P.+Schneider,212
Raúl+Gago,42
Marco+Borghesi,42
Aga+Shahee,1
Hannah+Funk,2
Elias+Coniavitis,3
Cristina+Navio,8
Timothy P.+Lodge,99
Florian+Strigl,10
Jose R.+Lozano,16
Yanier+Crespo,7
Sebastian+Keller,3
Ahmad+Bedram,0
Arvind+Vaidya,4
Vu Ngoc+Khiêm,0
Keshav N.+Shrivastava,41
Marco+Guzzi,393
Wolfgang+Häusler,333
Arnaud+Arbouet,8
Shigehiro+Takajo,3
Hanns Walter+Müller,194
Ronald+Geballe,192
Derek+Austin,8
Sandipan+Sengupta,26
Sayantan+Ghosh,0
Vance+Bergeron,10
Lasse B.+Vilhelmsen,9
Arndt+Simon,11
Werner+Gillijns,10
Jason+Brooks,6
Christophe+Berthod,234
Federico Garcia+Santibáñez,1
William+Detmold,480
Dumitru+Mazilu,135
Shogo+Hashimoto,0
Ivar+Zapata,110
Marcin+Dukalski,2
Miloslav+Znojil,62
Giles A.+Graham,2
Malcolm+Howells,6
Ahmed+Abdelzaher,0
Michael M.+Fogler,237
Pierre+de Fouquieres,4
Haitao+Wang,3
Vyacheslav F.+Solovyov,1
Marie+D'Iorio,0
Matthew J.+Carter,2
Keshav M.+Dani,2
Kuldeep+Kumar,22
Amir+Abdallah,3
Anders+Hansson,37
Takashi+Washio,1
Andres+Castellanos-Gomez,8
Antoni S.+Gozdz,0
José-María+Martí,4
Péter+Szelestey,1
James N.+Cook,22
Romeo+de Coss,13
Sefi+Givli,3
Alberto+Ventura,1
Olivier+Michel,0
Wataru+Oohara,16
Nigel+Wright,1
Dimas G.+de Oteyza,5
Katrina E.+Hibberd,1
Christopher C. J.+Potter,0
Giacomo M.+D'Ariano,43
Douglas H.+Ewing,58
Raz+Kupferman,46
Earl+Scime,3
Gunnar T.+Linke,2
Belén+Maté,6
Mona+Frommert,21
Michael+Hutchinson,0
Lawrence A.+Wade,11
Philippe+Haas,0
Anton+Anema,9
Janice H.+Nickel,133
Eckhart+Fretwurst,0
Sergej+Orlov,5
Erina+Nishida,22
Lon+Wilkens,84
A. Sander+Haase,0
Cenalo+Vaz,231
Kentaro+Sato,28
Yasuki+Nagai,10
William M.+Nelson,32
Guliano+Benenti,21
Akira+Hayama,0
Angelo+Calci,227
Leonard+Gamberg,33
Jiho+Kim,0
Thibault+Damour,5217
Laurie M.+Brown,661
Hiroto+Morishita,0
Hans+Rabus,6
Carles+Bona,157
Gerald D.+Stevens,12
Yoshio+Yamaguchi,768
Matthias+Rybarsch,4
Nathan+Goldman,140
Mohammad Abdur+Rashid,1
Mayumi+Aoki,472
Michael P.+Tuite,0
Yuriko Sassa+Kawamura,1
Sami+Nurmi,6
Kumar+Nanjundiah,2
Frederick J.+Walker,3
Evan H.+Abramson,25
Stefan+Naler,4
Oscar+Fuentealba,2
Horia I.+Petrache,37
Frank S.+Tomkins,199
Steven J. M.+Habraken,12
Michel+Orrit,173
Kiyoshi+Nishizawa,3
Shuangquan+Xie,1
Nick+Dorey,6
Denis+Bartolo,144
Michael+Rubinstein,307
Alberto+Abad,0
Max J.+Breitschafter,11
Kurt A.+Buzard,7
Matthias+Apel,16
Nikolay+Nizov,0
Kin-Chit+O,2
Vincenzo+Augelli,0
Tom+Vogt,23
Cynthia R.+McIntyre,1
Peter+Samuelsson,93
Matthew D.+Sievert,37
Gorden+Videen,6
Yosuke+Nagaoka,1318
Karl+Mannheim,72
Mikk+Lippmaa,15
Sven+van Teeffelen,93
Daniela+Schulze,15
Ovidiu D.+Gordan,4
Dawn A.+Bonnell,77
Vincent+Davesne,0
Takasi+Shoji,5
Alexia+Auffèves,66
Kausik+Bhattacharyya,1
Alison E.+Malcolm,13
Michael+Neumann,1
Hideyuki+Kato,0
Linus+Pauling,494
Wanhee+Lee,0
Timothy M.+Swager,11
Hidehiko+Fukunaga,0
S. Alexander+Ridgway,23
Christian K.+Machens,0
Steve B.+Lowen,45
Kengo+Ishiyama,24
Edgar Campos+Furtado,7
Cory R.+Dean,20
Kenneth C.+Rule,18
Konstantinos+Konstantinou,0
Erwin A.+Schuberth,5
Hanna+Vehkamäki,10
Bruno+Bassetti,3
Laure+Bourgeois,3
Jyoti+Mazumder,0
Steven S.+McCready,7
Gabriel+Hose,113
Gottfried+Bauer,1
Trieu+Nguyen,0
Ted M.+Clark,6
Kazuki+Kishinawa,4
Torsten+Rabe,0
Elena+Gnani,2
V. Kelvin+Neil,2
Tiago P.+Peixoto,111
Arthur+Parzygnat,0
Nick P.+Proukakis,17
Dieter H.+Hartmann,29
Niels Hessel+Andersen,89
Pranati K.+Rath,2
Thiago V.+Acconcia,5
Antti+Lauri,6
Shigeki+Otani,34
Filip A.+Rasmussen,0
Mihoko M.+Nojiri,1097
Sergey+Polyutov,4
Yves+Noat,30
Edwin C.+Jones,12
Malay+Dalui,0
Thierry+Dombre,186
Naresh+Chandra,40
Henrique N.+Bez,0
Jihyun+Choi,1
Mukesh+Kumar,21
Vittorio+Rosato,229
Barry+Winn,8
Jacob J.+Wisser,0
Diana+Shvydka,2
Jonghyun+Kahng,0
Masanori+Kaku,0
Kazuhito+Fujii,11
Nils Erik+Dahlen,137
Douglas E.+Baldwin,6
Julia A.+Kornfield,3
Colin V.+Parker,63
Yiannis+Sanakis,4
Sabine+Leroch,6
Karen+Lee,7
Gabriel A.+Cwilich,21
Aniello+Lampo,3
Jason+Pelc,35
Igor+Zorić,3
Reinaldo+de Melo e Souza,4
Shlomo+Ovadia,11
Anne K.+Starace,6
Holger+Haas,6
Delia+Ristoiu,15
Dipti+Pal,3
P. Craig+Taylor,2
Howard C.+Berg,107
Sylvain+Bréchet,0
Brice+Smith,7
James R.+Beckett,1
Douglas C.+Allan,931
Martin+Indergand,20
Leon J.+Radziemski,46
Thuc-Quyen+Nguyen,1
Alexander+Piel,110
Apisit+Tongchai,4
Nuno+Franco,0
Michael+Naguib,3
Alexander+Shengelaya,6
Ahmad+Amjadi,0
Hideyuki+Kugimiya,2
Dimitris A.+Papaconstantopoulos,9
Sebastian+Orzeł,2
Balbir S.+Reehal,54
Tsutomu+Mitsuishi,23
Ann E.+Orel,18
Pankaj K.+Mishra,5
Claire K.+Thomas,92
Pavel+Korzhavyi,14
Grzegorz+Białkowski,0
Sherwin J.+Singer,106
Koichi+Miyamoto,44
Philip J.+Camp,129
Antoine+Campagne,3
Yakir+Hadad,4
Tapani A.+Pakkanen,25
Nicki+Bornhauser,1
Biswajit+Karmakar,44
Rajendra R.+Zope,99
Kay+Weiss,0
Wolfgang+Muschik,3
Vandana+Nanal,1
Vladimir I.+Sugakov,4
Jackson D.+Clarke,12
Caroline+Mellot-Draznieks,3
Régis+André,66
Hiroyuki+Mori,57
Hogun+Jhang,0
Arneil+Reyes,1
Changbong+Hyeon,10
Katalin+Kovács,6
Joanna+Schmit,4
Peter+Orland,106
Shayne+Reichard,0
Jivtesh+Garg,109
Yuriy+Zinchenko,4
Patricia T.+Boyd,3
Peter+Lipa,35
Josep M.+Ribó,1
Kostas N.+Orginos,19
Stefano+Ranfone,24
W. P. Karel+Zapfe,0
Rolf E.+Isele-Holder,0
Stuart P.+Lloyd,192
Gene+Cantwell,0
Max+Goodrich,32
Vishagan+Ratnaswamy,2
Josef+Zähringer,6
Angela J.+Langdon,1
Xavier+Garcia i Tormo,14
James+Corones,10
Alexander+Schwarz,37
Guangqiang+Jia,2
Hideko+Nagahiro,60
Michael+Kempe,7
Christian+Jost,0
Roberto P. J.+Perazzo,3
Siegfried+Fussy,2
Santanu+Mondal,0
Gregoire+Brebner,1
Binit+Lukose,0
Prashant+Nagpal,2
Alfred A.+Kraus,272
Kenichi+Imaeda,13
Gennadiy+Burlak,13
Antoine J.+Cerfon,0
Tristan+Farrow,5
Fabian+Brau,68
Markus+Bär,407
Kenneth+Emerson,7
Razvan+Caracas,27
Peter+Ashburn,3
Mitsuhiro+Toriumi,1
Marin+Soljačic,5
Oswaldo+Zapata,5
Gudrun+Hagemann,20
Hazel+Pearson,14
Peter+Rech,6
Mustapha+Ishak,298
Alain+Goriely,95
Christopher D.+Hamley,31
Avner+Amir,48
Alessandro+Micco,6
Shinsuke+Shibata,7
Ferenc+Mezei,0
Huiqiu+Yuan,11
Frank+Eisert,3
Aitor+Mugarza,25
Yanfei+Zhang,0
Jiri+Malek,1
Yoske+Sumitomo,27
Lawrence+Lurio,17
Elina+Keihänen,3
Franziska+Töpler,0
Besim+Tanyel,2
Samuel H.+Blitz,7
Elena V.+Charnaya,5
Nigel J.+Shevchik,64
Kenneth M.+Watson,2577
Lev N.+Bulaevskii,36
Glauber T.+Marques,0
Alok+Gambhir,10
Mihail+Mirea,11
Nelson+Sepúlveda,0
Alexandre+Yale,2
Tomoya+Higo,3
Evgueni+Nikitin,5
James W.+Landry,105
Horacio Tertuliano S.+Filho,6
Aurelio+Patelli,19
Michael J.+Sayers,6
Jeremy+Kavka,5
Adrian+Nicholl,1
Nguyenho+Ho,0
James D.+Boyer,35
Hiroki K.+Sato,14
James L.+Hanssen,19
Laurent G.+Caron,93
Mohamed H.+Mabrouk,2
Jaume+Gomis,3
Katarzyna+Zwierzchowska,12
Maurizio+Piai,97
Neal+Turner,0
Anna+Gutina,1
Péter+Ván,1
Assunta+Bonanno,3
Hiroshi+Akera,147
Atsushi+Takashima,0
Lorand+Delczeg,1
Kentarou+Sawano,18
Ton G.+van Leeuwen,2
Ivan+Biaggio,80
Vivek+Mishra,17
Miomir B.+Djordjević,0
Mukesh+Dhamala,2
Rosemary A.+MacDonald,40
Namil+Kim,0
Christiana+Athanasiou,38
Martin A.+Porter,4
Keiji+Fukui,1
Maitreyee+Nandy,13
Freek J. M.+Hoeben,4
José Nelson+Onuchic,23
Peter+Anders,36
Miladin+Radovic,3
James M.+Takacs,0
Lucy D.+Whalley,0
Gregory+Coard,3
CHARLES R.+WHITSETT,12
Isa+Brandão,1
Wayne Y.+Fung,0
Toshiki+Sasaki,0
Erik S.+So/rensen,281
Nicoleta+Kaluza,8
Bruno W.+Augenstein,0
Julia+Herrero-Albillos,37
Michihiro+Horimoto,3
Jerome+Dilley,6
Antonio Enea+Romano,73
Ehsan+Irani,8
Juliusz Zbyszko+Zielinski,2
Bram+De Geyter,4
Antoine+Naert,5
Yoshimasa+Egi,1
Drew+Bertwistle,11
Félix+Werner,234
Masahiko+Inui,49
Hanna+Małuszyńska,3
Khandker+Quader,18
Vijay+Rawat,0
Laure+Mercier de Lépinay,0
Sindhu+Kalyadan,0
Mauro+Ghedini,11
Engelbert+Suchla,10
William E.+Fogle,35
Haiyang+Peng,6
Masaru+Nakahara,4
Denis D.+Sheka,84
Giuseppe+Lombardo,14
Jom Sool+Kim,0
Isao+Harada,2
Frank+Raischel,28
Ronen+Caspi,0
Yoshimitsu+Ushimi,15
Igor E.+Batov,5
Norman J. M.+Horing,115
Masami+Nakagawa,20
Jaehong+Jeong,41
Naum S.+Ginzburg,1
Sebastian+Schramm,0
Darlene L.+Hart,3
Ronald S.+Friedman,13
Soumik+Bhattacharya,1
Hugo W.+Bertini,307
Josephine M.+Bradley,16
Fumihiro+Matsui,0
Jim+Overkamp,3
Tom+Chau,0
Sebastian+Kiepsch,0
Arthur B.+Chilton,54
Spyros+Lavdas,1
Sean+Brennan,2
Harry+Buhrman,308
Maciej+Dendzik,10
Rodney T.+Hodgson,13
Christina+Trautmann,11
Patrick+Palmeri,5
Rockhee+Sung,4
Marko+Ternick,4
Maxime+Clusel,20
Manuel A.+Matías,72
Urs+Heine,0
Tatsunori+Sakano,3
Haruhito+Kato,4
Albert+van den Berg,5
Cedric R.+Leão,3
Fay+Hannon,5
Yuichi+Tomizawa,0
Mario+Mureddu,0
Michael+Povoloskyi,9
Matthias+Rief,50
Yuttanant+Boonyongmaneerat,4
Steven M.+Gorelick,1
Jorge F.+Willemsen,139
Eugenio+Ferrari,8
Avi+Gozolchiani,6
Stéphane+Daniele,2
Naoki+Kawashima,434
Paweł+Krawczyk,22
Olle+Björneholm,15
J. Andrzej+Domaradzki,12
Carmela+Buonavolontà,0
Keshav+Shrestha,2
Hans J.+Weber,32
Antonio+Giorgilli,18
Wim R.+Koppers,1
Irinel+Chiorescu,7
Marek+Hyt'ha,11
Talat S.+Rahman,685
Christian+Aponte-Rivera,0
Emilio+Torrente-Lujan,58
Wayne W.+Scanlon,160
Giuseppe+Zerbi,8
Lewis+Larrick,22
Adrien+Bussonnière,5
Joachim P.+Spatz,1
Eoin+Sheridan,0
Hylke C.+Donker,0
Jorge L.+Nisperuza,5
Øystein+Elgarøy,30
Graeme E.+Murch,3
Michael+Litos,3
Sylvia K.+Lewin,2
Martin+Hirsch,61
P. Henrik+Alfredsson,2
Steven+Prutzer,11
Diana+Guenzburger,191
Werner+Wegscheider,237
Atsushi+Yabushita,14
Verne+Jacobs,49
H. Viet+Nguyen,3
MICHAEL C.+WEINBERG,2
Seiichi+Wakaizumi,42
Céline+Charbonneau,1
Gordon J.+Aubrecht,47
Heinz-Dietrich+Doebner,1
Desai+Zhang,0
Aleksandar+Matic,4
Sergei B.+Leble,5
Ivana+Bochicchio,4
Mikhail A.+Osipov,51
Marilyn J.+Stafne,82
Utpal+Chattopadhyay,638
Dwi+Prananto,1
Dennis+Ikenberry,86
Frédéric+Dubreuil,3
Mattias+Christensson,48
James W.+Bennett,1
Brenno Caetano Troca+Cabella,3
Gregory A.+Grieves,4
Masashi+Aoki,0
Silverio P.+Almeida,31
Brice+Calkins,45
Maxim+Chernodub,18
Daisuke+Saito,5
Steven Trent+Manson,337
Dror+Kasimov,0
Mboyo+Esole,2
Mikhail+Panine,0
Vladimir S.+Gerdjikov,12
Louis C.+Jorritsma,76
Brindaban+Modak,2
Jozef+Skakala,0
Nathan S.+Williams,114
Charles+Rey,36
Evgeny V.+Doktorov,6
Gintaras K.+Duda,0
Ranjan+Modak,15
Arkady+Tseytlin,55
Paolo+Grigolini,768
Sebastian+Trojanowski,45
Kaushik+Balakrishnan,3
Fernando+Mellibovsky,24
P. S. Anil+Kumar,55
Hiroto+Furumochi,3
Josef+Kubát,5
Jose E.+Wesfreid,37
William A.+Barker,4
Vu+Thien Binh,1
Simone+Anders,11
Patrick M.+Odenthal,7
Minoru+Soda,50
J. Patrick+Zobel,2
Amy E. Stevens+Miller,4
Philip+DeBoer,2
Harrison+Brown,113
Vadim N.+Kurdyumov,3
Hiroshi+Kohno,425
Jen-Chuen+Hsieh,0
Alexander+Borisov,14
Djordje+Spasojević,64
Sergei+Nedelko,67
Yuki+Natsume,3
Puneet Kumar+Patra,3
Achilleas P.+Porfyriadis,30
Roberto+Osório,53
Gaetano+Bertoldi,81
Nobin+Banerji,0
C. William+McCurdy,291
Boris W.+Batterman,488
Yasuyuki+Maki,3
Duane D.+Bruns,9
Norihiro+Matsuo,0
François+Triozon,249
Hiroki+Mitamura,7
Ismo+Koponen,47
Lev P.+Pitaevskii,2504
James B. R.+Battat,44
Yuliya+Stark,11
Tobias+Donner,25
Winifred M.+Huo,116
Jiro+Kitagawa,10
Per+Johnsson,125
Kazumasa+Togano,16
James J.+Boyle,8
Jongbeom+Hong,25
Emile+Hoskinson,26
Katsutoshi+Fukuda,6
Julia M.+Link,0
Kirill A.+Bronnikov,5
Wolfgang+Mück,4
Volker+Gräschus,3
Juergen+Eckert,6
Gabriela I.+González,0
Gionata+Luisoni,10
Hanoh+Lee,37
Marcus G.+Martin,16
Stefan+Link,3
Hiroki+Hashiguchi,0
Harold+Stiles.,3
Akio+Kimura,111
Jonathan+Noe,2
Mikhail V.+Sazhin,3
Paolo+Palmerini,5
Aakash+Pushp,9
Konstantinos+Zoubos,3
Renato+Casagrandi,1
Seongjin+Kim,7
Surendra K.+Jain,1
Louis+Harbour,12
James T.+Hugall,2
Jorge S.+Díaz,77
Matko+Glunčić,1
Derek+Scott,41
Luca+Zambelli,8
Jacob L.+Roberts,5
Martin+Krzywinski,4
Robin+Koytcheff,4
Yves+Peysson,0
Matthew B.+Hastings,510
Marek+Góźdz,1
James W.+Cederberg,1
Alenka+Mertelj,24
