Name,Citation Count
Artur+Maksymov,3
Matthias+Balzer,42
Martinus J. G.+Veltman,0
Sanjay+Prabhakar,14
Ercan E.+Alp,33
Elso+Drigo Filho,4
Michele+Rizzi,0
Rachel J.+Dowdall,3
Michael B.+Weissman,25
Mikko+Sipilä,0
Armin+Thellung,11
Athanasios G.+Athanassiadis,6
Erin B.+Curry,5
Svetlana+Malinovskaya,4
Andreas V. M.+Herz,46
Jürgen+Kästel,135
Akira+Toriumi,2
Naoyuki+Sakumichi,8
Markus+Kindermann,76
Oliver J.+Weber,10
Wolfgang+Ochs,1
Anne+Saß,4
Michael+Betz,11
Shunya+Matsuba,0
Jorge+Llambías,2
Chris H.+Rycroft,32
Henar+Herrero,147
Rafael+Rabelo,42
Surender+Saini,5
Lydie+Ferrier,78
Marcel+Kossow,0
Yukio+Kaneda,22
Stefan+Güllenstern,0
Valentin V.+Nikolaev,1
Wayne A.+McMullin,69
Peter T.+Winslow,13
Erik+McNellis,6
A. Keith+Pierce,64
FELIX+VILLARS,83
Beate+Schmittmann,0
Peter+Mark,113
Patrick+Draper,157
Vladimir+Lebedev,47
Nicholas+Metropolis,70
Nikolaus+Buchheim,1
Foued+Amrani,3
Kenji+Nishiwaki,43
Ulrich+Höfer,55
Marcos R. S.+Tavares,21
Jacek+Miękisz,1
Stephan+Stetina,12
Santosh S.+Venkatesh,9
Arthur+Raiche,1
Uwe+Schönberger,15
Peter+Kopcansky,0
Renato+Musto,1
Diego+Trancanelli,79
Malcolm+Andrews,2
Antoine+Paturle,7
Gérard+Colas des Francs,46
Nils+Martensson,5
Ville+Kivijärvi,1
José Manuel+Casado,4
Geoff+Daniell,3
Jos W.+Maluf,0
Bruno+Juliá-Díaz,21
Gerald A.+Wrenshall,30
Eckhard+Filter,20
Michael J.+Harlow,4
Sérgio Alexandre+Pinto,3
Angelo+Mascarenhas,64
Domenico+Tocchini-Valentini,181
Andrzej+Veitia,14
Shigeru+Nishio,0
Eva M.+Weig,13
Keith+Redwine,3
Dariusz+Góra,14
Bastien F.+Grosso,1
Andrei Th.+Ionescu,3
Theodore+Marshall,10
Matthew+Buican,9
Sebastian E.+Ortiz,4
Wolfram H. P.+Pernice,35
Carmen+Muñoz,21
Dongkyu+Lee,0
Francesco+Negro,147
Emanuel H.+Rubensson,0
Hiroaki+Sukegawa,32
Wah Keat+Lee,0
Mickael+Bourgoin,8
Michael C.+Gao,4
Luis R.+Ramos,4
Michael+Gatchell,0
Susumu+Yanagisawa,17
Eberhard+Bodenschatz,410
Kenneth A.+Wright,4
Christopher L.+Smallwood,24
Giorgio+Schirò,3
Tetsuo+Hadeishi,58
Hadj M.+Benia,45
Mario+di Bernardo,20
Masatoshi+Koshiba,10
Armen G.+Hayrapetyan,10
Emmanuel+d’Humieres,3
José Luis+García-Muñoz,96
Laura Castelló+Gomar,14
José D.+Sanabria-Gómez,42
Mads+Kaern,4
Emanuele+Ciancio,14
Rodman+Smythe,44
Florian+Thüroff,20
Gordon+Chalmers,44
Jennifer A.+Rodgers,17
Hanna+Loch-Olszewska,0
Stefan+Klein,9
Erik H.+Anderson,143
Julien+Siebert,0
Marcello+Coreno,40
Jérôme+Beugnon,53
Dominique+Massiot,4
Karsten+Sundermann,6
Francisco D.+Mazzitelli,525
Raul+Arenal,10
Isao+Nishikawa,0
JENS+DAMGAARD,286
Mihail+Petkov,2
Andreas+Ketterer,1
Martin+Höcker,5
Karim+Ghorbani,5
Alberto+Imparato,24
Norman+Hilberry,88
Tomohiro+Ikeda,2
Eiji+Ohta,5
Silvia+Viola Kusminskiy,4
Marijan+Beg,17
Shlomo+Ta’asan,11
Andrei+Alexandru,113
Stanford P.+Yukon,17
Norikazu+Morisita,0
Alexey+Tonyushkin,12
Jonathan+Dowling,9
Radi A.+Jishi,4
Eunjip+Choi,5
Anastasia K.+Krylova,5
Michaël+Bourgoin,0
Marco A. A.+Barbosa,0
Piero+Torelli,40
Crispin H. W.+Barnes,18
Luigi+De Pascale,8
Jonathan R.+Radin,6
Mandar S.+Bhagwat,40
Denis+Ferachou,1
Michael+Lubell,0
Paride+Paradisi,14
Nettie H.+Coy,0
Christof+Niedermayer,45
Xavier+Bekaert,26
Mamiko+Kujiraoka,1
Karin+Rabe,4
Leonid+Shtilman,16
Ezequiel N.+Pozzo,14
Emil+Kazes,64
Evalyn I.+Gates,23
Luiz G.+Ferreira,1,4
Markus+Morgenstern,148
Tadahiro+Kawasaki,24
Szilard N.+Fejer,3
Angela+Busse,6
Lukasz+Czekaj,10
Andrés R. R.+Papa,7
Karim A.+Malik,487
Diego+Frezzato,0
Jonathan J.+Amazon,1
Jacek M.+Kowalski,26
Peter J.+Collings,138
Tomas+Leijtens,4
Yuta+Sato,0
Hirofumi+Hayashi,1
Yoshiaki+Kaimori,4
Yusuke+Suemitsu,0
Georgy+Lebon,5
Cesar+Maldonado,1
Yoshihisa+Yamamoto,2506
Pekko+Kuopanportti,75
Jonathan+Gair,93
Laurent+Larger,222
Erwin P. G.+van den Berg,1
Pierre+Atten,6
Henrik+Schneidewind,1
Yuki+Yonemura,3
Marta+De Luca,1
Miroslav+Kobas,6
Alejandro+Szynkman,64
Alexander V.+Joura,2
Janez+Turk,0
Shantanu+Mukherjee,28
Tokuyuku+Teraji,0
Samuel H.+Francis,2
Anne E.+Cunningham,1
Mathew W.+Choptuik,22
H. Al+Falou,24
Vadym E.+Vekslerchik,0
Ekkehard+Overbeck,0
Harold+Mendlowitz,0
Stefan+Simrock,1
Philip G.+Collins,104
Takashi+Nagatani,322
Catherine+Kealhofer,30
Surjeet+Singh,34
Hsieh+Chen,2
Rupert+Wildt,0
Oleg+Tikhomirov,9
Michał+Piotrowicz,5
Katharina+Landfester,5
Dmitry+Morits,2
Serguei I.+Andronenko,5
Hans-Hennig+von Grünberg,39
Eduardo+Casali,4
Motoshi+Shibata,27
Katelin+Schutz,7
Ethan+Lake,0
Santiago+Betelú,3
Guillaume+Froehlicher,4
Jacob+Bian,13
Guido+Nolte,23
Sven+Åberg,172
Reji+Philip,0
Maxwell G.+Merkle,0
Kenneth W.+Billman,0
Anuj+Goyal,0
Abdulaziz D.+Alhaidari,0
Roberto+Scaramella,5
Boris E.+Meierovich,10
Saber+Rostamzadeh,8
Arunabha+Guha,17
Varinderjit+Kaur,3
Samuel+Davis,0
Stewart D.+Bloom,222
William G.+Spitzer,67
Jason B.+Baxter,1
Mitsunori+Hieda,21
Nuno J. G.+Couto,13
Kazuyuki+Takahashi,21
Véronique+Zehnlé,65
Ritesh+Sachan,3
Laurent+Limot,4
Ross A.+Kerner,0
Kedar S.+Ranade,16
Greg+Levine,1
Matthias+Wolke,1
Ion+Garate,396
Jiahao+Yao,0
Guillermo+Abramson,204
Camille+Bonvin,209
Rolf H.+Luchsinger,20
Gilles+Buchs,9
Eduard M.+Mateescu,3
Ludovic+Marquant,3
Nina+Marković,18
Rene+Lopez,1
Christian+Schmidbauer,0
Tomer+Volansky,260
Charanjit S.+Aulakh,172
James C.+Bradas,0
Ashleigh E.+Baber,1
Carlos A.+da Rocha,14
Werner+Pesch,185
Zoltán+Eisler,22
Sanford L.+Schuster,4
Bernd+Hildmann,1
Agnes+Ferenczi,10
Ralph+Püttner,28
Istvan Z.+Kiss,12
Jarrett L.+Lancaster,0
Guido+van Miert,8
Gergely G.+Barnaföldi,40
Javier+Almeida,3
Jack+Judy,0
Werner+Schaffenberger,2
Amy+Szuchmacher Blum,4
Miguel Ángel+Niño,10
Federico+Bassetti,0
Etienne+Gheeraert,0
Gabriel N.+Martin,2
Fumiyoshi+Takano,1
Georgios+Lefkidis,54
Valentin S.+Afraimovich,7
Sangita S.+Kalarickal,11
Viktor S.+Richvitsky,1
James L. P.+Hughes,73
Johannes W. O.+Salari,2
Sergey E.+Skipetrov,14
Savio+Laricchia,2
Götz S.+Uhrig,945
Shinichi+Tanabe,21
Masaki+Tezuka,119
Tommy+Hofmann,29
Lucas+Barberis,0
Timothy+Hobbs,5
Juilee+Thakar,1
Kazuaki+Iwasa,59
Satoru+Oshiro,2
Arianna+Carbone,70
Christiane+Höppener,1
Peter+Lenz,47
Bruce+Hammel,3
WALTER+BAMBYNEK,353
Gülis+Zengin,7
Michael J.+Thorpe,48
Sanjukta+Ganguli,1
Craig J.+Eckhardt,2
Michael L.+Lewis,26
Binayak+Dutta-Roy,96
Reed+Corderman,17
Ante+Aničić,3
Morten Høgsbro+Larsen,18
Godfrey+Gumbs,450
Laurent+Moyaerts,42
Renaud+Marty,0
Jack A.+Soules,18
ChinWook+Chung,2
Jaroslaw+Motylewski,0
João+da Providência,26
Christoph A.+Keller,2
Amílcar+Bedoya-Pinto,1
Jacob+Lamblin,1
Shingo+Tokitake,3
Taras+Bryk,66
Merle Michael+Robinson,5
Saavanth+Velury,19
Ertle Leslie+Harrington,14
Chloé+Féron,0
Karolina+Janicka,42
Bhagwati Prasad+Bahuguna,0
Alessandra+Di Gaspare,2
André+Pape,6
Debraj+Roy,2
Henrik+Johansson,88
Oksana+Gaier,4
Satish+Krishnamoorthy,9
Lev+Zelenyi,2
Peter R.+Johnston,0
Satoshi+Yajima,0
Sylvain+Fasel,62
Shah H.+Khan,13
Erik+Jämstorp,0
Israel+Mardor,27
Matthias+Tröndle,5
Philip W.+Davis,2
Rodney C.+Ewing,28
Yuni+Iwamasa,0
Maciej+Długosz,0
Karsten+Auen,4
Martin+Quack,9
Matan+Zehavi,0
Kenji+Suzuki,49
Hiroaki+Wakimoto,2
Bence+Lazarovits,26
Matías+Bejas,28
Ahmet K.+Atakan,2
Supichai+Kantrasiri,1
Atsushi+Fujimori,2038
Georges+Lévi,0
Dimitris G.+Angelakis,272
Julio+Sheinbaum,1
Harold P.+Furth,14
Lars+Bergqvist,105
Philip M.+Wheat,4
Thurman L.+Talley,13
Frederick G.+Werner,48
Kazuhiko+Kuroki,1604
How-foo+Chen,3
Marconi Soares+Barbosa,2
Enno+Harms,8
Francois+Lequeux,0
Michael+Shearer,5
Satoshi+Tomita,16
P. Glenn+Barkley,3
Alfred M.+Bruckstein,1
Ruth E. A.+McKnight,12
Andres F.+Mejia,4
Ron S.+Leder,2
Nikolai B.+Kopnin,2
Naia+Pereda,0
Igor+Tikhonenkov,30
Tuocheng+Cai,6
Margaret F.+Hind,9
Harold H.+Nielsen,12
Ivana+Mrkonjić,2
Raphael+de Haro,2
Yookyung+Jung,1
Thierry+Leininger,2
Aldilene+Saraiva-Souza,4
André+Roberge,4
Martin+Dunn,12
FREDERICK W.+CUMMINGS,86
Yoichi+Kawakami,93
Kenneth C.+Rogers,78
Paramita Kar+Choudhury,0
Gaia+Grimaldi,1
Irina+Balakireva,10
Bibhushan+Shakya,32
Martin+Bauer,27
Mirjana+Golubović,48
Claude+Bricman,218
Diego+Rybski,3
Leonhard+Lücken,5
Catherine+Schwob,152
Diego+Rodríguez-Gómez,12
Mahdi+Sadjadi,1
Jana+Čisárová,7
Leonard+Parker,2186
Tohru+Takeshita,21
Albert M.+Iskandarov,6
Sarmistha+Banik,106
Takashi+Mori,114
Martin+Kullmann,1
Júlio Ricardo+Sambrano,2
Alamgir+Kabir,1
Keiichirou+Akiba,85
Günter+Dlubek,4
Ray+Radebaugh,160
Kristopher J.+Healey,15
Peter S.+Ebey,4
Enrico+De Micheli,0
Karl-Heinz+Heinig,33
Bogdan+Opanchuk,43
Ronojoy+Saha,42
Håkan+Olin,16
Jerry A.+Anderson,53
Marvin E.+Wyman,27
Julia+Poncela-Casasnovas,1
Adam+Nahum,65
Carlos L. V.+Aiken,10
Akobuije+Chijioke,3
Jose Jesus+Rodriguez-Nuñez,0
Ofer+Sinai,6
Sumit+Agarwal,1
Vincenzo+Aquilanti,25
Heinz-Dieter+Nuhn,10
Danielle+Keller,2
J. C. Séamus+Davis,0
Mehrdad+Farhoudi,13
Tobias+Gleim,59
Pablo I. R.+Pincheira,0
Adam M. R.+de Graff,1
Andreas+Janotta,0
Kenji+Nakanishi,67
Peter+Truoel,5
Franco+Bassani,515
Shinichi+Ikawa,0
Sylvestre+Bonnet,11
Ivan J.+Muzinich,126
Christopher P. L.+Berry,2
Holger+Hoffmann,3
Stefania+Malaguti,18
Joan+Bertomeu,0
Leonid I.+Klushin,13
Marie+McCrary,9
Martin+Schrinner,2
Luca+Dal Negro,68
Alexander+Valladares,8
Siris+Laursen,2
Takatoshi+Ito,2
Tibor+Torma,49
Rob G. H.+Lammertink,19
Ludovic+Van Waerbeke,6
Renu+Pasricha,6
Jonas Nyvold+Pedersen,69
Ugo+Facchini,32
Igor V.+Maznichenko,11
Sven+Stafström,192
Vladislav S.+Borisov,2
Barbara A.+Capron,16
Nila+Patil,4
Bojan+Đuričković,0
Roberto+Noriega,0
MARVIN L.+COHEN,78
Franz J.+Giessibl,294
Grzegorz+Łach,47
Tatyana P.+Ivleva,3
Miles+McCord,13
Claire+Le Naour,0
Attila+Márkus,7
Jaejun+Yu,1353
Jolien D. E.+Creighton,439
Donald J.+Weidner,0
Duane+Roller,10
Michael+Forster,4
Péter+Rakyta,81
Vanessa Souza+Leite,0
Jiteng+Sheng,55
KIRK W.+McVOY,2
Luc+Barbier,2
Frank W.+Gayle,29
Dirk+van der Marel,24
Bjarne+Andresen,63
Masashi+Nantoh,16
Antoine+Evrard,1
Adam G.+D’Souza,1
Antoine+Niguès,1
Catalin+Martin,4
Andreas+Rätz,10
Cláudio S.+Sartori,7
Rider Jaimes+Reategui,5
Daniele+Pelliccia,38
Samer+Nashed,0
Hillel+Aharoni,4
Stefan+Stefanov,0
Barnett C.+Cook,66
Alexey+Belyanin,101
Judah L.+Schwartz,71
Magnus+Ögren,35
Corneliu N.+Colesniuc,3
Xuefa+Li,7
James L.+Weaver,2
Diana V.+Shopova,14
Brittany+Bayley,0
Francesca+Garcias,28
Louis D.+Roberts,203
Adam J.+Hauser,31
Christoph H.+Redder,1
Walter+Hardy,2
Kouki+Yonaga,0
Kazuhiro+Yamanaka,4
Giorgio+Cinacchi,14
Bostjan+Zalar,15
JOSEF+SAK,10
Chien-Hsun+Chen,2
Vladimir I.+Korobov,202
Nada+Bjelobrk,0
Jeffrey C.+Owrutsky,0
Martin+Laforest,39
Andreas+Lang,12
Jan+von Delft,1379
Kensuke+Kusaka,28
Wolfgang+Osten,5
Ajay K.+Ghosh,5
Botond+Bakó,1
Mervlyn+Moodley,9
Iovitzu+Popescu,93
Edouard+Yeramian,1
Francesca+Nannelli,10
Takafumi+Miyazaki,29
Russell J.+Holmes,5
Irmantas+Ratas,1
Matteo+d’Astuto,72
Pierre+Moussa,8
Noriyuki+Toukairin,9
Kokou+Dadzie,7
Germán+Mato,10
Steven R.+Cook,7
Shaul+Mordechai,14
Marcia+Neugebauer,4
Melanie+Chiu,0
Yohichi+Suzuki,9
Joshua A.+Strong,4
Nobuhiro+Maeda,0
Diana M.+Loesing,1
Jörg+Mayer,2
Paulo S.+Pizani,0
Byungduk+Yoo,7
James+Cullen,7
Francisco R.+Hung,11
Riccardo+Benini,8
Hans+von Berlepsch,1
Irfan+Siddiqi,19
Michael S.+Barnes,72
Ngee Pong+Chang,4
Jeffrey A.+Edlund,5
Yechao+Zhu,1
Étienne+Lantagne-Hurtubise,0
Rajandrea+Sethi,4
Peyman+Ghaffari,10
Christopher B.+McKitterick,2
Albrecht+Wiedenmann,24
Mouhamadou+Sy,3
Oleg Y.+Kontsevoi,5
Megumi+Toshimitsu,5
Lewis J.+Fetters,16
Jonathan H.+Manton,0
Silvia+Rubini,64
James D.+Siverns,8
Martin+Varbanov,16
A. Lynn+Stephens,1
Harvey+Scher,745
Nguyen Duy+Thuy,3
Steffen+Kayser,5
Witek+Chalupczak,21
Antonio+Volta,8
Michał+Pochwała,10
Karsten+Kahl,0
Nina V.+Krainyukova,0
Stephan+Stieberger,37
Brad+Littleton,12
Vincenzo+Martinelli,1
Ludmila+Lysyakova,0
Tamer+Tlas,1
Mathieu+Pellen,1
Takashi+Ogura,0
Matthew C.+Buckley,0
Nicholas+Thomas-Peter,44
Hiroki+Izawa,44
Hugo+Sanabria,3
Kilian+Oberleithner,0
Ørjan G.+Martinsen,0
Kieran+Deasy,2
Ryuichi+Tarumi,1
Elad+Shopen,4
Andreas+Krueger,1
Alejandro S.+Jakubi,172
Toru+Hirahara,343
Takao+Ishii,131
Sophia K.+Domokos,42
Nils Erland L.+Haugen,63
Rainer W.+Hasse,57
Clifford L.+Harris,14
Kenzo+Inoue,1
Timothy R.+Field,1
Tiqiao+Xiao,7
Igor+Krasnov,5
Falk-Ulrich+Stein,1
Marcel+Schubert,8
Art+Gossard,1
Shahid+Hussain,29
Alberto+Ronzani,4
Csaba+Daday,4
Ivan+Spremo,16
Alvin L.-S.+Chua,18
Andrey+Lugovskoy,1
Caetano R.+Miranda,30
Claudio+Pica,337
Mau Hsiung+Chen,1336
Stephane+Santucci,32
Jeffrey M.+Bergthorson,0
Hans+Riesen,0
Daria+Brisker,4
Johann+Riedl,49
Peter G.+Kusalik,11
Karl+Lackner,0
Kenichiro+Tateishi,1
Akinori+Kagawa,1
Suzanne+Sadedin,0
Larissa+Bauer,0
Sander+Mooij,14
Reginaldo+Palazzo,1
Carlo+Baldassi,2
Diego+del-Castillo-Negrete,5
Mirosl/aw+Brewczyk,5
Laura+Bethke,11
Akos+Vertes,6
Dominique+Udron,8
Keiji+Takeda,28
Katharina+Doblhoff-Dier,50
Carlos+Gonzalez-Ballestero,9
Rafael+Ramrez,22
Hyojae+Jang,4
Lasha+Berezhiani,21
Salim+Houamer,8
James Edmund+Ives,2
Karsten+Potrick,6
Venu+Vaithyanathan,1
Ikuya+Yamada,12
Keeyeol+Nam,37
Mika+Lastusaari,1
Florent+Dalmas,1
Ricardo+Henríquez,9
Arthur+Bierman,4
Pam+Ocampo-Alfaro,2
Denis+Mongin,3
Pedro H.+Guimarães,1
Felix Florian+Stelzl,2
Constantinos+Pallis,2
Ryohei+Sumii,23
Pia+Eickelmann,0
Shane O.+Samuelson,2
Ueli+Glaus,5
Peter+McIntyre,1
Tom+Price,4
José-Luis+López,1
Asako+Kawamori,9
Irina+Pozdnyakova,13
Amit+Dey,3
Ehsan+Barati,1
Lauriston C.+Marshall,16
Xingjiang+Zhu,1
Evgeny N.+Bulgakov,174
Sonia+Sharmin,2
Leandro+Tosi,3
Orrin D.+Fackler,9
Homer D.+Hagstrum,1307
Alexey V.+Arefiev,10
Frank+Klingl,42
Duong+Hong Tuan,2
Daisuke+Asakura,7
Masatoshi+Tanaka,2
Masahiro+Hotta,53
Jürgen+Fritsch,68
Luiz C.+Sampaio,11
Iván+Durán,8
Ralph F.+Schneider,1
Bruno+Majerus,0
Sebastian+Diehl,356
Roch+Schanen,4
Thaddeus+Kycia,10
Takumi+Iritani,40
Andrej Yu.+Zubarev,34
Preston B.+Moore,3
Marcello+Ortaggio,36
Stefano+Gandolfi,160
ShunJin+Wang,8
Todd D.+Krauss,182
Pradeep+Sharma,3
Florian+Gebert,6
Pascal J.+Elahi,4
Erich+Goll,27
Tom+Alberts,1
Shuhei+Ishima,0
Ligen+Wang,5
Jeonghwan+Pak,5
Christophe+Durand,3
Olivier+Villain,3
Alica+Krapf,4
Michael J.+Redmon,20
Kirill+Bobrov,18
Michael+Stobbe,12
Jose A.+Pons,71
Yukito+Iba,13
Kiranpreet+Kaur,7
Hugo L. D.+de S. Cavalcante,10
Pierre-Philippe+Cortet,16
Shaun+Hooper,1
Lynette+Keeney,0
Anil K.+Malik,0
Max+Neudecker,11
Douglas G.+Fong,1
YeJe+Park,20
Masato+Kubota,7
Takuji+Hiraoka,88
Kadi L.+Saar,0
Marko+Gosak,2
Salvador+Izquierdo,1
Michael J.+Moritz,25
Karen+Camarda,24
Elliot R.+Wainwright,0
Michael A.+Taylor,6
Stewart+Becker,5
Imanol+de Pedro,1
Dave+Civello,6
Francesco+Terranova,3
Artur M.+Ankowski,73
Yusuke+Kasahara,2
Derek D.+Mahoney,31
Michele+Trapletti,2
Guido+Meier,315
Konstantin A.+Shakhnovich,1
Vincent+Robert,4
Jérôme+Bernard,8
Deepak Kumar+Hansda,1
Volker+Michels,3
Arnab+Ghosh,32
Ahmad+Ansari,11
José M. M.+Senovilla,100
Adriano+Di Giacomo,2
Takashi+Tokizaki,11
Noboru+Takimoto,42
Teresita A.+Rojas,0
Nahoko+Miyazaki,15
Efi+Efrati,44
James W. M.+Chon,0
Gerald A.+Goldin,65
Jonathan+Blackman,48
Jose+Rogan,1
Boris+Weinberg,0
Michael+Siomau,5
Giampaolo+Mistura,20
Manoranjan P.+Singh,21
Matthew P.+Augustine,4
James F.+Smith,1
Hongting+Yang,34
Matthew P.+Fishman,11
Andrey A.+Vyshnevyy,0
Harry H.+Hall,12
James R.+Lewandowski,15
Giovacchino+Spinelli,3
Jadran+Vrabec,7
Xuefeng+Yang,1
Andreas+Houben,2
Andreas+Brandhuber,27
Harry I.+Fisher,0
Ingo C.+Kleppe,0
P. Jonathan+Phillips,1
Keiji+Tokunaga,0
Sandro+Perrone,5
Gene+Wolfe,0
Lukáš+Palatinus,21
Cornelius+Lanczos,23
Leonel+Gómez,2
Pierre-Antoine+Delsart,13
Stefan+Luther,35
Shradha+Mishra,70
Andreas+Bengtsson,0
Norman M.+Uyeda,12
Bartosz+Fornal,51
Andrea+Fera,46
Juris G.+Kalnins,5
Alexander S.+Akentyev,0
Hideo+Sambe,249
Makoto+Okano,12
Zhuwei+Zeng,1
Greg+Hughes,0
Jakub+Zlámal,1
Marcus D.+Gabriel,9
Victor F.+Hess,31
Aaron+Manalaysay,47
Timothy A.+Strobel,27
Charly+Nayet,6
Xóchitl+López-Lozano,3
Tohru+Ikeguchi,13
Mario+Mura,3
Gordon F.+Hull,20
James A.+Warren,89
Takuya+Kobayashi,0
Andrey+Saveliev,18
Marina V.+Koudriachova,26
Gurpreet Kaur+Gulati,34
Gavin I.+Probert,10
Denis+Chastenet,24
Reinhardt B.+Schuhmann,10
Franco+Marabelli,8
Martin+Pospiech,4
Masaki+Inui,10
Vesna+Stanic,1
Gero+Wälz,0
Matthew+Kenzie,0
Carlos N.+Tomé,1
Doreen+Müller,59
Hannu+Wichterich,96
Yoshiya+Sato,2
João P.+Amaral,0
Jyotipratim+Ray Chaudhuri,3
László+Sarkadi,24
Michael G.+Sotiropoulos,6
Seema+Satin,76
Emmanuel+Mimoun,18
Fred V.+Wells,5
Valérie+Veniard,21
Adam+Green,10
Tsubasa+Takahashi,5
Jaume+Veciana,13
Aiguo+Cai,1
Marina+Popova,2
Bisong+Cao,0
Romain+Lagrange,2
Uma+Papnoi,6
Edi+Gilioli,6
Tetsuya+Yomo,2
Paritosh+Karnatak,0
Emmanuel+Dormy,20
Peter+van der Straten,5
Esin+Kenar,3
Manuel+Quesada-Pérez,5
Tatiana+Pieloni,2
Henri+Navelet,10
Tamás+Unger,55
Tomoki+Abe,4
Dennis C.+Rapaport,15
A. Cemal+Eringen,2
Anders+Moelbjerg,12
Félicie+Albert,21
Monica G. M.+Ferguson-Hessler,3
Ihor A.+Lubashevsky,7
Immanuel+Bloch,3978
Ruth+Serquina,2
Lech S.+Borkowski,22
Olivier+Rivoire,19
Sudha+Srivastava,2
Kiyoshi+Nishikawa,3
Helena+Franke,2
Peter M. A.+Sloot,7
Dieter+Rhede,3
Pavel+Mokrý,1
Jungyeon+Cho,8
Tatjana+Carle,4
Axel+Völker,5
CATALIN D.+MITESCU,3
Arnold J.+Sierk,716
Diep Q.+Vinh,0
Sebastien+Couet,7
Naoki+Sasaki,5
Wael+Chibani,0
Takashi+Ohmura,150
Vladimir I.+Arkhipov,9
Carla+Puglia,4
Ernst+Knoesel,103
Kazumi+Nara,5
Jongwook+Kim,3
Nathan I.+Hammer,1
Xavier+Marti,0
Norihiko+Sakamoto,9
Tristan+Gilet,7
Riccardo+Mazzarello,59
Kazuhiko+Yazawa,10
Tetsuo+Nakajima,4
Lutz+Baumgarten,15
Patrice+Paricaud,0
Kazumi+Nishimura,3
Márton+Pósfai,12
Shammai+Speiser,1
Marie+D’angelo,41
Joshua J.+Waterfall,11
James P.+Mithen,24
Hideyuki+Mizuno,35
Ingrid+Kohl,7
William J.+Schaff,84
Yonathan+Shapir,352
Hans-Joachim+Werner,45
Chandi+Prasad,0
Ron+Workman,103
William+Baker,0
Walter+Duley,5
Catherine J.+Stevenson,2
Yasumitsu+Araki,2
Daniele+Binosi,98
Nestor Z.+Handzy,8
Robson B.+Rodrigues,55
Pawel+Hawrylak,1526
Eugenio R.+Méndez,8
Stefan+Nolte,296
Vladimir S.+Ivanov,6
Jeffrey W.+Felix,11
Torben+Huus,190
Lev+Bulaevskii,128
Alexei A.+Starobinsky,1249
Kimberly+MacArthur,0
Mathias+Brust,0
Glenn A.+Sowell,8
Suresh+Sanda,0
Toby S.+Wood,0
Detlev+Ristau,2
Amina+Taleb-Ibrahimi,26
Nicholas D.+Kazarinoff,2
Kasper+Jensen,133
Marcel+Krzan,3
Nathan G.+Woodard,7
José A.+Freire,20
Irina+Novikova,204
Julie A.+Keele,38
Michael+Stroscio,2
Rafael+Taboryski,38
Tomohiro+Inagaki,8
Matteo+Bonfanti,5
Luc+Couturier,0
Mogens R.+Samuelsen,82
Tannie+Stovall,42
Karl+Meiners-Hagen,2
Akihiro+Enomoto,12
Wonsig+Jung,61
Luis+Mier-y-Teran Romero,1
Angela N.+Fantino,12
Alexander+Gluhovsky,1
Ed+Waller,0
Kirill+Boguslavski,26
Andreas+Zilker,13
Niels+Lörch,19
Takeo+Jo,87
Ramazan+Sever,7
Satyaki+Bhattacharya,10
Reghu+M.,52
Waldo J.+Rodriguez,4
Elliot+Elson,43
Sushrut+Modak,0
Radomír+Kužel,6
Maurus+Hess,0
Koichiro+Kato,0
Elena B.+Dunina,0
Pierre+Colinet,4
Anulekha+Dutta,2
Shota+Kumekawa,0
Olivier+Asin,2
Georg+Held,26
Mathilde+Fouché,63
Stephan+Fichtinger,3
Derek+Inman,9
Claudio+Hartzstein,1
William L.+Karney,21
Jim+Wirtz,10
Michael+Fosmire,4
Natalia+Bruno,6
Jose A.+Rodriguez,5
Adrian+Hutter,62
Yasuhiro+Akutsu,122
Graham T.+Purves,3
Fitria+Miftasani,0
Teresa Ree+Chay,8
Matthew+Moeller,1
Dipan K.+Ghosh,30
Victor+Kagalovsky,15
Siera M.+Stoen,0
Marc+Diepold,3
Motohiro+Kanno,6
Seiya+Goto,8
Vyacheslav+Misko,50
Guilherme Almeida Silva+Ribeiro,10
William S.+Crane,27
James R.+Campbell,0
Ryuzo+Ueda,47
Yasushi+Miyanishi,6
Markus A.+Cirone,37
Neil+Heiman,44
Gérald+Grenier,17
Indira+Nair,13
Xingcai+Su,12
Kanti+Chandra,6
Amarendra K.+Sarma,23
F. Burr+Anderson,164
Peter L.+Christiansen,36
Bharat+Kunwar,0
Yanfei+Tu,4
Manfred+Rühle,40
Pasupati+Mandal,0
Akinori+Ohsawa,11
Charles L.+Dick,5
Lorenzo+Gori,38
Ibrahim+Avgin,16
Jan+Grünert,22
Alban+Sauret,0
Kieron+Burke,9784
ANTON Z.+CAPRI,22
Ofer+Firstenberg,8
Konstantinos+Moulopoulos,8
Jana+Tóthová,0
G. Patricio+Carrazana,8
Stephane+Raymond,21
Jack+Waddell,0
Geoffroy+Kirstetter,2
Debasis+Dan,49
Fabian+Böhm,8
Meir+Weger,10
Bruce+Allen,628
Jason A.+Farmer,0
BORIS W.+BATTERMAN,193
Alpha Hamadou+Ibrahim,4
Jan-Christopher+Winter,3
Hiroshi+Iwayama,16
Laila+Alabidi,15
Philippe+Deguent,2
Mehdi+Sadatgol,0
Ivan T.+Todorov,4
Takayuki+Kobayashi,7
Stephan A.+Koehler,72
Axel+Rosenhahn,7
Antonio Alvaro Ranha+Neves,3
