Paper,Gender,NumberOfCitations
10.1103/PhysRevE.55.3708,m,2
10.1103/PhysRevD.50.R2361,m,17
10.1103/PhysRevLett.73.3598,f,1
10.1103/PhysRevA.78.022105,m,0
10.1103/PhysRevB.36.2147,m,0
10.1103/PhysRevD.18.2861,m,3
10.1103/PhysRev.103.469,m,60
10.1103/PhysRevE.76.031905,m,0
10.1103/PhysRevB.91.081113,m,1
10.1103/PhysRev.39.716,m,5
10.1103/PhysRevD.12.2254,m,2
10.1103/PhysRevB.42.555,m,2
10.1103/PhysRevD.69.104020,m,9
10.1103/PhysRev.106.117,m,11
10.1103/PhysRev.144.151,m,57
10.1103/PhysRevB.37.2050,m,2
10.1103/PhysRev.74.782,m,22
10.1103/PhysRev.128.1321,m,3
10.1103/PhysRevB.79.045429,m,9
10.1103/PhysRevD.65.044014,m,1
10.1103/PhysRev.169.1017,m,73
10.1103/PhysRevA.65.012103,m,7
10.1103/PhysRevLett.69.1006,m,64
10.1103/PhysRev.126.427,m,32
10.1103/RevModPhys.27.249.2,m,0
10.1103/PhysRev.181.1102,m,2
10.1103/PhysRevLett.48.59,m,6
10.1103/PhysRevB.15.3362,m,0
10.1103/PhysRevA.7.1188,m,0
10.1103/PhysRevD.38.337,m,0
10.1103/PhysRevC.16.1996,m,0
10.1103/PhysRev.100.394,m,6
10.1103/PhysRev.72.510,m,12
10.1103/PhysRevLett.52.569,m,13
10.1103/PhysRev.99.1322,m,7
10.1103/PhysRevLett.81.1393,m,5
10.1103/PhysRevA.7.427,m,15
10.1103/PhysRev.126.378,m,2
10.1103/PhysRevE.75.051203,m,2
10.1103/PhysRevC.88.062801,m,1
10.1103/PhysRev.92.1542,m,4
10.1103/PhysRev.113.7,m,0
10.1103/PhysRevB.82.073409,f,18
10.1103/PhysRevLett.88.141602,m,35
10.1103/PhysRevC.29.1825,m,4
10.1103/RevModPhys.81.1495,m,91
10.1103/PhysRev.109.348,m,2
10.1103/PhysRevE.94.023316,m,0
10.1103/PhysRevD.25.1519,m,0
10.1103/PhysRevD.2.1939,m,0
10.1103/PhysRevC.77.064610,m,8
10.1103/PhysRev.55.792,m,13
10.1103/RevModPhys.35.724,m,5
10.1103/PhysRevD.92.084036,m,0
10.1103/PhysRev.87.678,m,5
10.1103/PhysRevB.65.012301,m,0
10.1103/PhysRevD.86.083505,m,4
10.1103/PhysRev.69.238,m,1
10.1103/PhysRevA.55.1613,m,107
10.1103/PhysRevB.40.9945,m,0
10.1103/PhysRevLett.110.066403,m,23
10.1103/PhysRevB.75.155419,m,5
10.1103/PhysRev.140.A263,m,14
10.1103/PhysRevD.69.093007,m,23
10.1103/PhysRevE.80.042801,m,0
10.1103/PhysRevLett.18.70,m,1
10.1103/PhysRevD.36.1625,m,18
10.1103/PhysRevB.72.054122,m,2
10.1103/PhysRevLett.94.194502,m,3
10.1103/PhysRevA.43.4637,f,58
10.1103/PhysRevE.67.036114,m,14
10.1103/PhysRevLett.4.406,m,0
10.1103/PhysRevLett.11.266,m,3
10.1103/PhysRevE.84.012301,m,3
10.1103/PhysRevE.81.027301,m,1
10.1103/PhysRevA.23.360,m,9
10.1103/PhysRev.164.270.4,m,1
10.1103/PhysRevD.5.2677,m,1
10.1103/PhysRevLett.101.117201,m,29
10.1103/PhysRevLett.100.089702,m,3
10.1103/PhysRevA.21.1939,m,7
10.1103/PhysRev.54.639,m,3
10.1103/PhysRev.102.939,m,0
10.1103/PhysRevD.52.6630,m,16
10.1103/PhysRevD.42.3594,m,1
10.1103/PhysRevB.49.9024,m,62
10.1103/PhysRevA.71.034103,m,0
10.1103/PhysRevA.43.7031,m,4
10.1103/PhysRevLett.82.4951,m,25
10.1103/PhysRevLett.64.1080,m,5
10.1103/PhysRev.54.1011,m,11
10.1103/RevModPhys.23.185,m,24
10.1103/PhysRev.86.126.2,m,1
10.1103/PhysRevLett.82.4985,m,1
10.1103/PhysRevB.83.165304,m,32
10.1103/PhysRevB.23.2152,m,6
10.1103/PhysRevLett.66.2565,m,79
10.1103/PhysRev.158.1018,m,1
10.1103/PhysRev.70.671,m,16
10.1103/PhysRevD.52.7328,m,1
10.1103/PhysRevA.10.1670,m,12
10.1103/PhysRevA.52.4599,m,4
10.1103/RevModPhys.30.542,m,24
10.1103/PhysRevC.6.1449,m,4
10.1103/PhysRevB.47.15294,m,1
10.1103/PhysRev.72.458,m,6
10.1103/PhysRev.46.477,m,4
10.1103/PhysRevD.89.084040,m,7
10.1103/PhysRevE.57.7239,m,0
10.1103/PhysRevLett.49.1470,m,5
10.1103/PhysRevA.5.2027,m,18
10.1103/PhysRevLett.87.023002,m,30
10.1103/PhysRevLett.100.018902,m,1
10.1103/PhysRevA.26.578,m,63
10.1103/PhysRevB.51.16984,m,4
10.1103/PhysRevB.58.R1762,m,4
10.1103/PhysRev.36.121,m,2
10.1103/PhysRev.37.923,m,1
10.1103/PhysRevB.44.1509,m,5
10.1103/PhysRevLett.93.055503,m,14
10.1103/PhysRevLett.110.089405,m,3
10.1103/PhysRev.56.1242.2,m,0
10.1103/PhysRevB.50.5578,m,9
10.1103/PhysRev.172.535,m,2
10.1103/PhysRevA.87.042501,m,4
10.1103/PhysRevA.76.053622,m,0
10.1103/PhysRevB.12.2045,m,6
10.1103/PhysRev.126.1271,f,18
10.1103/PhysRevE.58.1591,m,15
10.1103/PhysRevD.79.045021,m,1
10.1103/PhysRevB.48.12217,m,4
10.1103/PhysRevD.29.1032,m,4
10.1103/PhysRev.85.1,m,1
10.1103/PhysRev.127.1246,m,0
10.1103/PhysRevD.83.024022,m,1
10.1103/PhysRevA.78.043610,m,2
10.1103/PhysRevA.60.1135,m,2
10.1103/PhysRevC.85.029901,m,33
10.1103/PhysRevB.28.2463,m,18
10.1103/PhysRevB.14.3471,m,12
10.1103/PhysRev.51.1046,m,2
10.1103/PhysRevD.10.3884,m,6
10.1103/PhysRevD.11.960,m,1
10.1103/PhysRevA.87.060302,m,2
10.1103/PhysRevE.85.036705,m,5
10.1103/PhysRevB.51.2563,m,2
10.1103/PhysRevC.74.064316,m,3
10.1103/PhysRevD.76.065002,m,7
10.1103/PhysRevD.51.R300,m,8
10.1103/PhysRevD.9.370,m,1
10.1103/PhysRevE.66.051903,m,9
10.1103/PhysRevLett.50.703,m,0
10.1103/PhysRevD.39.163,m,1
10.1103/PhysRevB.69.014512,m,4
10.1103/PhysRevB.30.4989,m,28
10.1103/PhysRevE.61.3375,m,0
10.1103/PhysRevD.4.2949,m,1
10.1103/PhysRev.90.416,m,7
10.1103/PhysRevA.40.2365,m,9
10.1103/PhysRevB.38.2727,m,2
10.1103/PhysRevLett.58.2043,m,82
10.1103/PhysRevLett.83.2849,m,15
10.1103/PhysRevE.51.3945,m,7
10.1103/PhysRevLett.74.816,m,7
10.1103/PhysRev.161.1581,m,1
10.1103/PhysRevD.86.126003,m,11
10.1103/PhysRevLett.37.879,m,24
10.1103/PhysRevE.70.046613,m,6
10.1103/PhysRevLett.92.122301,m,16
10.1103/PhysRevD.80.067701,m,1
10.1103/PhysRevSeriesI.25.399,m,1
10.1103/PhysRevB.10.2186,m,32
10.1103/PhysRevB.35.5985,m,4
10.1103/PhysRevC.6.1444,m,0
10.1103/PhysRevD.72.017501,m,11
10.1103/PhysRevA.75.052309,f,14
10.1103/PhysRevLett.82.3380,m,2
10.1103/PhysRevB.40.11104,m,3
10.1103/PhysRevA.7.451,m,23
10.1103/PhysRev.41.561,m,14
10.1103/PhysRevD.56.1612,m,5
10.1103/PhysRevA.63.022108,m,11
10.1103/PhysRevB.1.1908,m,19
10.1103/PhysRevLett.89.195503,m,37
10.1103/PhysRevLett.89.217901,m,12
10.1103/PhysRevD.62.014025,m,10
10.1103/PhysRevA.38.939,m,4
10.1103/PhysRevA.84.063849,m,1
10.1103/PhysRev.70.910,m,1
10.1103/PhysRev.55.323,m,11
10.1103/PhysRevD.1.1572,m,34
10.1103/PhysRevA.58.4479,m,8
10.1103/PhysRevA.74.022307,m,13
10.1103/PhysRevC.28.1402,m,7
10.1103/PhysRevLett.44.469,m,75
10.1103/PhysRevB.71.012418,f,5
10.1103/PhysRevD.64.065025,m,2
10.1103/PhysRevLett.85.1354,m,18
10.1103/PhysRevA.57.4122,m,8
10.1103/PhysRevD.92.065007,m,1
10.1103/PhysRevD.66.043512,f,0
10.1103/PhysRevD.47.R5224,m,14
10.1103/PhysRevD.59.023004,m,9
10.1103/PhysRevB.40.2494,m,155
10.1103/PhysRevA.64.043412,m,23
10.1103/PhysRevSTAB.17.090702,f,1
10.1103/RevModPhys.17.292,m,2
10.1103/PhysRevB.50.17364,m,38
10.1103/PhysRevD.67.104006,m,10
10.1103/PhysRevLett.76.188,m,13
10.1103/PhysRevB.63.165117,m,1
10.1103/PhysRev.89.1189,m,259
10.1103/PhysRevA.75.069902,m,1
10.1103/PhysRevB.42.5377,m,22
10.1103/PhysRevE.78.036310,m,3
10.1103/PhysRevD.67.104015,m,22
10.1103/PhysRevD.70.014004,m,3
10.1103/PhysRevLett.109.020408,m,5
10.1103/PhysRevB.36.9122,m,44
10.1103/PhysRevE.72.026216,f,1
10.1103/PhysRevA.21.1902,m,2
10.1103/PhysRevB.51.1844,m,19
10.1103/PhysRevLett.67.2650,m,1
10.1103/PhysRevC.85.034909,m,1
10.1103/PhysRevB.74.167401,m,2
10.1103/PhysRevD.31.1443,m,5
10.1103/PhysRev.179.1345,m,83
10.1103/PhysRev.76.1176,m,5
10.1103/PhysRevE.78.066113,m,0
10.1103/PhysRevB.49.109,m,2
10.1103/PhysRev.182.115,m,39
10.1103/PhysRevE.57.4733,f,4
10.1103/PhysRev.109.232,m,0
10.1103/PhysRevD.62.076001,m,5
10.1103/PhysRev.171.215,m,0
10.1103/PhysRev.48.283,m,11
10.1103/PhysRevB.56.3372,m,25
10.1103/PhysRevA.86.022519,m,0
10.1103/PhysRevA.52.R2493,m,637
10.1103/PhysRevD.49.6920,f,20
10.1103/PhysRevLett.82.3378,m,2
10.1103/PhysRevB.55.3580,m,11
10.1103/PhysRevA.65.032121,m,24
10.1103/PhysRevA.80.032323,m,0
10.1103/PhysRevB.26.6593,m,11
10.1103/RevModPhys.41.669,m,17
10.1103/PhysRev.135.A698,m,78
10.1103/PhysRev.71.846,m,64
10.1103/PhysRev.118.664,m,6
10.1103/PhysRevE.80.011701,m,0
10.1103/PhysRevD.34.737,m,0
10.1103/PhysRevB.57.13072,f,4
10.1103/PhysRevD.93.093019,m,0
10.1103/PhysRevLett.65.2474,m,0
10.1103/PhysRev.177.1315,m,19
10.1103/PhysRev.59.434,m,1
10.1103/RevModPhys.77.675,m,9
10.1103/PhysRevB.51.3989,m,5
10.1103/PhysRevE.80.046101,f,7
10.1103/PhysRevE.92.063106,m,1
10.1103/PhysRevD.50.4602,m,1
10.1103/PhysRevLett.94.111301,m,2
10.1103/PhysRevD.70.063530,m,2
10.1103/PhysRevB.52.4526,m,36
10.1103/PhysRev.109.668,m,9
10.1103/PhysRevB.68.153309,m,0
10.1103/PhysRevD.83.023515,m,6
10.1103/PhysRevLett.98.229001,m,2
10.1103/PhysRevA.7.1272,m,1
10.1103/PhysRevD.82.086010,m,1
10.1103/PhysRevE.56.5123,m,3
10.1103/PhysRevD.88.124005,m,4
10.1103/PhysRevB.21.1329,m,6
10.1103/PhysRev.130.1530,m,59
10.1103/PhysRevA.25.3393,m,1
10.1103/PhysRevA.82.011601,m,5
10.1103/PhysRevD.83.127502,m,8
10.1103/PhysRevE.68.036127,m,2
10.1103/PhysRevE.80.021928,m,6
10.1103/PhysRevD.24.2959,m,3
10.1103/PhysRevA.81.023601,m,2
10.1103/PhysRevD.86.064024,m,13
10.1103/PhysRevA.53.2084,m,2
10.1103/PhysRev.113.1445,m,4
10.1103/PhysRevA.50.3216,m,2
10.1103/PhysRevD.84.107302,m,3
10.1103/PhysRevB.93.075120,m,3
10.1103/PhysRevA.89.032120,m,0
10.1103/PhysRevB.14.2514,m,1
10.1103/PhysRevLett.53.2258,m,12
10.1103/PhysRevB.21.5808,f,4
10.1103/PhysRevD.39.1802,m,0
10.1103/PhysRevD.65.084046,m,10
10.1103/PhysRevB.75.035123,m,21
10.1103/PhysRevD.18.2901,m,4
10.1103/PhysRevA.8.1844,m,29
10.1103/PhysRevD.16.2612,m,17
10.1103/PhysRev.56.1181,m,7
10.1103/PhysRev.184.1848,m,221
10.1103/PhysRevLett.77.4366,m,3
10.1103/PhysRevA.35.4526,m,3
10.1103/PhysRevD.10.755,m,0
10.1103/PhysRevE.62.5119,m,12
10.1103/PhysRevD.78.026003,f,1
10.1103/PhysRevA.92.012328,m,3
10.1103/PhysRevD.29.1520,m,0
10.1103/PhysRevA.39.2232,m,7
10.1103/PhysRevLett.74.4964,m,16
10.1103/RevModPhys.1.1,m,28
10.1103/PhysRev.172.230,m,2
10.1103/PhysRev.33.605,m,8
10.1103/PhysRev.135.B1102,m,3
10.1103/PhysRevA.86.055603,m,4
10.1103/PhysRevA.1.1746,m,11
10.1103/PhysRevE.51.873,m,0
10.1103/PhysRevD.86.084019,m,22
10.1103/PhysRevB.76.153403,m,10
10.1103/PhysRevB.9.781,m,0
10.1103/PhysRevB.75.035206,m,4
10.1103/PhysRevC.22.192,m,57
10.1103/PhysRevA.53.2089,m,0
10.1103/PhysRevD.59.034013,m,35
10.1103/PhysRevD.20.936,m,37
10.1103/PhysRevD.33.3124,m,0
10.1103/PhysRev.139.B1093,m,8
10.1103/PhysRevD.86.055009,m,3
10.1103/PhysRevB.50.3869,m,1
10.1103/PhysRevA.53.3543,m,14
10.1103/PhysRev.86.128,m,6
10.1103/PhysRevC.81.025804,m,8
10.1103/PhysRevB.43.3613,m,0
10.1103/PhysRevB.85.085307,m,0
10.1103/PhysRevD.53.3108,m,2
10.1103/PhysRevA.88.034502,m,0
10.1103/PhysRevE.82.066603,m,2
10.1103/PhysRevA.93.062129,m,0
10.1103/PhysRevA.44.6577,m,6
10.1103/PhysRev.117.1119,m,2
10.1103/PhysRevD.88.044007,m,0
10.1103/PhysRevLett.29.772,m,9
10.1103/PhysRev.115.366,m,39
10.1103/PhysRev.100.1007,m,1
10.1103/PhysRev.83.540,m,10
10.1103/PhysRevD.84.124051,m,3
10.1103/RevModPhys.79.801,m,51
10.1103/PhysRevB.52.16727,m,6
10.1103/PhysRevD.28.1243,m,150
10.1103/PhysRevD.52.2036,m,5
10.1103/PhysRevA.13.1507,m,6
10.1103/PhysRevLett.87.172003,f,36
10.1103/PhysRevD.44.2380,m,18
10.1103/PhysRevB.46.15447,m,1
10.1103/PhysRevD.21.328,m,2
10.1103/PhysRev.73.1119,m,6
10.1103/PhysRevB.74.125319,m,8
10.1103/PhysRevE.56.6466,m,0
10.1103/PhysRevB.27.6512,m,2
10.1103/PhysRevA.15.53,m,3
10.1103/PhysRevB.45.2290,m,7
10.1103/PhysRevB.59.3357,f,7
10.1103/PhysRevE.66.052801,m,0
10.1103/PhysRevB.78.024515,m,1
10.1103/PhysRevD.46.3813,m,2
10.1103/PhysRevLett.71.1677,m,7
10.1103/PhysRevD.73.025005,m,7
10.1103/PhysRev.111.575,m,1
10.1103/PhysRevD.48.5953,m,3
10.1103/PhysRevA.82.034101,m,3
10.1103/PhysRevD.50.7025,m,13
10.1103/PhysRevE.64.031103,m,0
10.1103/PhysRevD.37.454,m,3
10.1103/PhysRevA.76.063405,m,23
10.1103/PhysRevA.60.3496,m,44
10.1103/PhysRevD.70.124009,m,25
10.1103/PhysRevA.43.2430,m,19
10.1103/PhysRevLett.29.38,m,2
10.1103/PhysRev.58.658.2,m,5
10.1103/PhysRevA.72.042313,m,1
10.1103/PhysRevE.57.4943,m,14
10.1103/PhysRev.86.195,m,8
10.1103/PhysRevB.61.7257,m,2
10.1103/PhysRevLett.65.2206,m,22
10.1103/PhysRevA.82.043633,m,8
10.1103/PhysRevE.66.056116,m,1
10.1103/PhysRev.33.1,m,19
10.1103/PhysRevE.72.057601,m,0
10.1103/PhysRevB.35.9529,m,16
10.1103/PhysRev.104.1113,m,15
10.1103/PhysRevD.35.3940,m,0
10.1103/PhysRevB.88.245435,m,1
10.1103/PhysRevA.23.159,m,6
10.1103/PhysRev.160.1416,m,1
10.1103/PhysRevD.74.043007,m,0
10.1103/PhysRevB.46.14842,m,3
10.1103/PhysRevLett.104.095901,m,5
10.1103/PhysRevA.21.1067,m,0
10.1103/PhysRev.132.2270,m,9
10.1103/PhysRevD.32.347,m,12
10.1103/PhysRev.185.1990,m,22
10.1103/PhysRevA.73.052111,m,4
10.1103/PhysRevLett.110.033004,f,0
10.1103/PhysRevB.61.3951,m,12
10.1103/PhysRevB.47.1683,m,20
10.1103/PhysRev.123.526,m,3
10.1103/PhysRev.178.585,m,4
10.1103/PhysRevD.33.1762,m,6
10.1103/PhysRevA.72.032113,m,0
10.1103/PhysRevA.8.3160,m,0
10.1103/PhysRev.88.722,m,5
10.1103/PhysRevA.93.023840,m,1
10.1103/PhysRevA.64.012103,m,12
10.1103/PhysRevD.39.2216,m,3
10.1103/PhysRevD.83.114005,m,5
10.1103/PhysRevD.53.2843,m,15
10.1103/PhysRev.42.509,m,2
10.1103/PhysRevE.81.066216,m,2
10.1103/PhysRevB.85.195463,f,2
10.1103/PhysRevLett.66.1406,m,16
10.1103/PhysRev.156.1555,m,9
10.1103/PhysRevA.87.042305,m,19
10.1103/PhysRevLett.102.161301,m,109
10.1103/PhysRevE.60.6210,m,4
10.1103/PhysRev.83.858.2,m,0
10.1103/PhysRevD.87.024021,m,0
10.1103/PhysRevE.55.1189,f,8
10.1103/PhysRev.81.331,m,32
10.1103/PhysRevE.56.6033,m,5
10.1103/PhysRevC.79.054901,m,3
10.1103/PhysRevD.7.3059,m,2
10.1103/PhysRevLett.1.244,m,3
10.1103/PhysRevB.3.2847,m,5
10.1103/PhysRevD.58.084005,m,3
10.1103/PhysRevA.27.1053,m,88
10.1103/PhysRevLett.6.12,m,10
10.1103/PhysRev.72.815,m,6
10.1103/PhysRevB.31.7274,m,4
10.1103/PhysRevA.65.063801,m,2
10.1103/PhysRevB.67.115112,m,1
10.1103/PhysRev.88.1309,m,21
10.1103/PhysRevLett.26.159,m,1
10.1103/PhysRevB.86.195436,m,2
10.1103/PhysRevLett.12.139,m,4
10.1103/PhysRevLett.55.1252,m,3
10.1103/PhysRev.136.B562,m,3
10.1103/PhysRevE.84.036605,m,2
10.1103/PhysRevLett.64.2856,m,38
10.1103/RevModPhys.53.603,m,76
10.1103/PhysRevC.93.054903,m,0
10.1103/PhysRevB.76.155431,m,22
10.1103/PhysRev.75.972,m,41
10.1103/PhysRevB.87.125419,m,14
10.1103/PhysRevA.80.042110,m,0
10.1103/PhysRevD.87.104006,m,13
10.1103/PhysRevC.29.623,m,7
10.1103/PhysRev.128.2251,m,3
10.1103/PhysRevD.91.031501,m,5
10.1103/PhysRevB.90.220406,f,1
10.1103/PhysRevB.34.3476,m,77
10.1103/PhysRevLett.47.387,m,5
10.1103/PhysRevB.27.4173,f,5
10.1103/PhysRev.124.1719,f,25
10.1103/PhysRevB.70.121302,m,78
10.1103/PhysRev.116.592,m,0
10.1103/PhysRevLett.87.179702,m,2
10.1103/PhysRevD.78.042001,f,1
10.1103/PhysRevB.51.15074,m,4
10.1103/PhysRevLett.15.1003,m,3
10.1103/PhysRevE.55.6821,m,15
10.1103/PhysRevD.12.523,m,7
10.1103/PhysRevD.49.R599,m,1
10.1103/PhysRev.135.A1371,m,1
10.1103/PhysRevD.79.113004,m,1
10.1103/PhysRevA.46.1116,m,0
10.1103/PhysRev.148.1282,m,9
10.1103/PhysRev.26.465,m,3
10.1103/PhysRevD.19.3170,m,6
10.1103/PhysRevD.32.898,m,2
10.1103/PhysRevLett.62.1967,f,11
10.1103/PhysRev.108.349,m,0
10.1103/PhysRevE.58.4191,m,0
10.1103/PhysRevLett.29.1318,m,2
10.1103/PhysRev.38.642,m,7
10.1103/PhysRevE.71.016112,m,8
10.1103/PhysRevSTAB.9.112001,m,2
10.1103/PhysRevD.57.4352,m,0
10.1103/PhysRev.168.631,m,1
10.1103/PhysRevB.50.11146,m,0
10.1103/PhysRevD.88.103519,m,3
10.1103/PhysRev.99.1037,m,30
10.1103/PhysRevB.76.184111,m,1
10.1103/PhysRevD.82.034007,m,0
10.1103/PhysRevB.40.3358,m,3
10.1103/PhysRevD.16.1354,m,1
10.1103/PhysRev.148.1107,m,66
10.1103/PhysRevLett.6.125,m,12
10.1103/PhysRev.125.1088,m,8
10.1103/PhysRevB.10.4572,m,5
10.1103/PhysRevB.69.245307,m,2
10.1103/PhysRevD.25.1417,m,1
10.1103/PhysRevD.87.025013,m,15
10.1103/PhysRev.98.103,m,2
10.1103/PhysRevB.32.2049,m,3
10.1103/RevModPhys.58.1021,m,51
10.1103/PhysRevA.91.022501,m,3
10.1103/PhysRevE.80.056604,m,0
10.1103/PhysRevD.93.043525,m,1
10.1103/PhysRev.18.413,m,1
10.1103/PhysRevLett.64.2219,m,22
10.1103/PhysRevE.71.026411,m,1
10.1103/PhysRevE.49.4065,m,5
10.1103/PhysRevD.80.123536,m,45
10.1103/PhysRevD.86.094030,m,14
10.1103/PhysRevD.53.2724,m,10
10.1103/PhysRevA.56.1154,m,39
10.1103/PhysRev.79.498,m,12
10.1103/PhysRevD.87.124016,f,9
10.1103/PhysRevE.86.041105,m,2
10.1103/PhysRevLett.90.118501,m,0
10.1103/PhysRevD.51.4168,m,20
10.1103/PhysRev.49.132,m,12
10.1103/RevModPhys.63.151,m,41
10.1103/PhysRevC.47.2213,m,11
10.1103/PhysRevD.61.015005,m,25
10.1103/PhysRev.119.1436,m,0
10.1103/PhysRev.79.718,m,4
10.1103/PhysRevA.24.2735,m,26
10.1103/PhysRevSeriesI.6.193,m,1
10.1103/RevModPhys.20.388,m,2
10.1103/PhysRevA.39.6224,m,3
10.1103/PhysRevD.67.106002,m,7
10.1103/PhysRevD.29.771,m,0
10.1103/PhysRevB.18.5995,m,3
10.1103/PhysRevD.67.084025,m,41
10.1103/PhysRevE.55.6898,m,1
10.1103/PhysRevD.79.084001,m,0
10.1103/PhysRevB.41.4858,m,35
10.1103/PhysRev.55.1209,m,1
10.1103/PhysRevD.42.543,m,5
10.1103/PhysRevD.56.3341,m,4
10.1103/PhysRevE.72.011106,m,1
10.1103/PhysRevC.61.054613,f,1
10.1103/PhysRevB.19.2895,m,3
10.1103/PhysRev.172.530,m,0
10.1103/PhysRev.114.878,m,2
10.1103/PhysRev.163.280,m,6
10.1103/PhysRevD.3.2955,m,0
10.1103/PhysRevB.74.224437,m,9
10.1103/PhysRevB.94.035133,m,0
10.1103/PhysRevD.54.4121,m,2
10.1103/PhysRevA.44.6150,m,0
10.1103/PhysRevB.70.165412,m,0
10.1103/PhysRevLett.115.063201,m,3
10.1103/PhysRevD.60.106001,m,0
10.1103/PhysRevB.1.4161,m,29
10.1103/PhysRev.10.557,m,0
10.1103/PhysRevD.49.4041,m,5
10.1103/PhysRevD.16.3068,m,16
10.1103/PhysRevLett.16.539,m,0
10.1103/PhysRevA.79.043412,m,0
10.1103/PhysRevB.54.11539,m,9
10.1103/PhysRevLett.50.1946,m,187
10.1103/PhysRev.164.818,m,17
10.1103/PhysRevA.78.013839,m,0
10.1103/PhysRevE.58.281,m,9
10.1103/PhysRevD.70.065013,m,3
10.1103/PhysRevA.31.1563,m,0
10.1103/PhysRevA.77.013803,m,9
10.1103/PhysRevD.26.2955,m,10
10.1103/PhysRevE.86.061117,m,0
10.1103/PhysRevB.41.8526,m,2
10.1103/PhysRevD.56.6230,m,7
10.1103/PhysRevA.25.2788,m,8
10.1103/PhysRevA.76.022508,m,6
10.1103/PhysRev.18.443,m,12
10.1103/PhysRevE.50.1198,m,5
10.1103/PhysRevD.14.2739,m,3
10.1103/PhysRevA.78.022311,m,0
10.1103/PhysRevD.37.3061,f,0
10.1103/PhysRevE.76.062601,m,0
10.1103/PhysRev.60.822,m,9
10.1103/PhysRev.180.527,m,94
10.1103/PhysRevA.75.032111,m,0
10.1103/PhysRevLett.93.204102,m,1
10.1103/PhysRevD.87.043505,m,8
10.1103/PhysRevD.10.1345,m,1
10.1103/PhysRevA.56.1548,m,10
10.1103/PhysRevA.93.013852,m,1
10.1103/PhysRev.80.96.2,m,2
10.1103/PhysRevD.13.2499,m,11
10.1103/PhysRevA.84.062116,m,4
10.1103/PhysRevB.82.060516,m,2
10.1103/PhysRevD.8.4166,m,0
10.1103/PhysRev.131.229,m,109
10.1103/PhysRevA.84.012323,m,5
10.1103/PhysRev.108.1351,m,14
10.1103/PhysRev.181.1095,m,20
10.1103/PhysRev.61.537.2,m,2
10.1103/PhysRevLett.72.305,m,4
10.1103/PhysRev.80.519,m,22
10.1103/RevModPhys.35.421,m,2
10.1103/PhysRevLett.88.139902,m,7
10.1103/PhysRevLett.32.814,m,67
10.1103/PhysRev.131.1170,m,21
10.1103/PhysRevD.73.037501,m,0
10.1103/PhysRevA.92.062119,m,1
10.1103/PhysRevE.50.502,m,3
10.1103/PhysRevD.65.074025,m,2
10.1103/PhysRev.165.1934.5,m,2
10.1103/RevModPhys.75.101,m,0
10.1103/PhysRevD.69.044025,m,39
10.1103/PhysRevD.72.043526,m,10
10.1103/PhysRevC.64.067304,m,4
10.1103/PhysRevD.62.047701,m,0
10.1103/PhysRevLett.108.115302,m,24
10.1103/PhysRevD.83.096003,m,3
10.1103/PhysRevB.57.13729,m,31
10.1103/PhysRevLett.103.121102,m,0
10.1103/PhysRevLett.47.69,m,6
10.1103/PhysRevD.36.2301,m,4
10.1103/PhysRevLett.27.822,m,6
10.1103/PhysRevB.13.4403,m,1
10.1103/PhysRevD.70.044004,m,6
10.1103/PhysRevD.89.125025,m,0
10.1103/PhysRevB.46.12788,m,2
10.1103/PhysRevLett.47.1863,m,6
10.1103/PhysRev.37.1180,m,1
10.1103/PhysRev.140.A993,m,24
10.1103/PhysRevB.80.214418,m,0
10.1103/PhysRevE.93.052804,m,0
10.1103/PhysRevA.40.6403,m,3
10.1103/PhysRevD.9.177,m,7
10.1103/PhysRevLett.91.199702,m,1
10.1103/PhysRevLett.67.85,f,11
10.1103/PhysRevD.74.043515,m,12
10.1103/PhysRevD.11.2670,m,0
10.1103/PhysRevLett.113.069601,m,4
10.1103/PhysRev.157.623,m,8
10.1103/PhysRevA.44.2292,m,39
10.1103/PhysRevA.43.5724,f,13
10.1103/PhysRevLett.111.235303,m,8
10.1103/PhysRevB.27.6968,m,0
10.1103/PhysRev.73.1,m,11
10.1103/PhysRevD.61.047702,f,1
10.1103/PhysRevB.65.104436,m,1
10.1103/PhysRevA.87.032320,m,2
10.1103/PhysRev.58.679,m,3
10.1103/PhysRevD.30.2495,m,19
10.1103/PhysRevE.87.044101,m,2
10.1103/PhysRev.172.12,m,4
10.1103/PhysRevB.54.R17273,m,2
10.1103/PhysRevE.89.052602,m,0
10.1103/PhysRevB.74.235112,m,17
10.1103/PhysRevA.87.042326,m,0
10.1103/PhysRevD.76.126003,m,16
10.1103/PhysRevC.19.1467,m,3
10.1103/PhysRevE.94.031101,f,0
10.1103/PhysRevD.93.045014,m,0
10.1103/PhysRevD.82.094505,m,4
10.1103/PhysRevB.11.4069,m,0
10.1103/PhysRev.39.385,m,1
10.1103/PhysRevE.94.062137,f,0
10.1103/PhysRevE.50.3234,m,2
10.1103/PhysRevA.92.022118,f,0
10.1103/PhysRevA.50.2120,m,7
10.1103/PhysRevD.4.635,m,0
10.1103/PhysRevA.60.3421,m,14
10.1103/PhysRevD.54.7650,m,0
10.1103/PhysRev.74.1413,m,0
10.1103/PhysRevA.33.351,m,1
10.1103/PhysRevD.59.094501,m,1
10.1103/PhysRev.133.B845,m,22
10.1103/PhysRevB.34.1264,m,19
10.1103/PhysRevB.19.3230,m,3
